Year,Sexua,Adina,Egoitza,Desgaitasunik ez duten pertsonak,Lurralde historikoa,Eskualdea,Udalerria,Units,GeoCode,Value
2021,,16 urte eta gehiago,,,,,ES48052,PT,ES48052,8.2
2018,,16 urte eta gehiago,,,,,ES48052,PT,ES48052,7.4
2015,,16 urte eta gehiago,,,,,Larraul,PT,Larraul,13.8
2010,,16 urte eta gehiago,,,,,Larraul,PT,Larraul,4.4
2021,,16 urte eta gehiago,,,,,Larraul,PT,Larraul,4.5
2018,,16 urte eta gehiago,,,,,Larraul,PT,Larraul,8.1
2019,,16 urte eta gehiago,,,,,Larraul,PT,Larraul,7.8
2016,,16 urte eta gehiago,,,,,Larraul,PT,Larraul,9.4
2020,,16 urte eta gehiago,,,,,Larraul,PT,Larraul,6.5
2018,,16 urte eta gehiago,,,,,ES20902,PT,ES20902,9.8
2021,,16 urte eta gehiago,,,,,ES20902,PT,ES20902,9.3
2020,,16 urte eta gehiago,,,,,ES20902,PT,ES20902,8.2
2015,,16 urte eta gehiago,,,,,ES20902,PT,ES20902,15.3
2016,,16 urte eta gehiago,,,,,ES20902,PT,ES20902,14.1
2019,,16 urte eta gehiago,,,,,ES20902,PT,ES20902,8.4
2010,,16 urte eta gehiago,,,,,ES20902,PT,ES20902,9.6
2019,,16 urte eta gehiago,,,,,Laudio / Llodio,PT,Laudio / Llodio,12.1
2020,,16 urte eta gehiago,,,,,Laudio / Llodio,PT,Laudio / Llodio,11.0
2021,,16 urte eta gehiago,,,,,Laudio / Llodio,PT,Laudio / Llodio,12.9
2015,,16 urte eta gehiago,,,,,Laudio / Llodio,PT,Laudio / Llodio,17.1
2010,,16 urte eta gehiago,,,,,Laudio / Llodio,PT,Laudio / Llodio,8.9
2016,,16 urte eta gehiago,,,,,Laudio / Llodio,PT,Laudio / Llodio,16.1
2018,,16 urte eta gehiago,,,,,Laudio / Llodio,PT,Laudio / Llodio,12.9
2016,,16 urte eta gehiago,,,,,ES48053,PT,ES48053,10.4
2018,,16 urte eta gehiago,,,,,ES48053,PT,ES48053,8.9
2021,,16 urte eta gehiago,,,,,ES48053,PT,ES48053,8.9
2010,,16 urte eta gehiago,,,,,ES48053,PT,ES48053,7.6
2020,,16 urte eta gehiago,,,,,ES48053,PT,ES48053,8.0
2019,,16 urte eta gehiago,,,,,ES48053,PT,ES48053,7.5
2015,,16 urte eta gehiago,,,,,ES48053,PT,ES48053,12.0
2020,,16 urte eta gehiago,,,,,Lazkao,PT,Lazkao,7.0
2019,,16 urte eta gehiago,,,,,Lazkao,PT,Lazkao,6.5
2015,,16 urte eta gehiago,,,,,Lazkao,PT,Lazkao,11.7
2018,,16 urte eta gehiago,,,,,Lazkao,PT,Lazkao,7.5
2021,,16 urte eta gehiago,,,,,Lazkao,PT,Lazkao,7.5
2010,,16 urte eta gehiago,,,,,Lazkao,PT,Lazkao,8.4
2016,,16 urte eta gehiago,,,,,Lazkao,PT,Lazkao,9.7
2020,,16 urte eta gehiago,,,,,Leaburu,PT,Leaburu,9.8
2015,,16 urte eta gehiago,,,,,Leaburu,PT,Leaburu,11.0
2016,,16 urte eta gehiago,,,,,Leaburu,PT,Leaburu,14.2
2021,,16 urte eta gehiago,,,,,Leaburu,PT,Leaburu,8.1
2019,,16 urte eta gehiago,,,,,Leaburu,PT,Leaburu,9.5
2010,,16 urte eta gehiago,,,,,Leaburu,PT,Leaburu,7.7
2018,,16 urte eta gehiago,,,,,Leaburu,PT,Leaburu,11.9
2015,,16 urte eta gehiago,,,,,Legazpi,PT,Legazpi,11.9
2020,,16 urte eta gehiago,,,,,Legazpi,PT,Legazpi,7.5
2021,,16 urte eta gehiago,,,,,Legazpi,PT,Legazpi,8.1
2016,,16 urte eta gehiago,,,,,Legazpi,PT,Legazpi,10.5
2019,,16 urte eta gehiago,,,,,Legazpi,PT,Legazpi,7.2
2018,,16 urte eta gehiago,,,,,Legazpi,PT,Legazpi,8.4
2010,,16 urte eta gehiago,,,,,Legazpi,PT,Legazpi,8.3
2019,,16 urte eta gehiago,,,,,Legorreta,PT,Legorreta,8.7
2010,,16 urte eta gehiago,,,,,Legorreta,PT,Legorreta,11.1
2018,,16 urte eta gehiago,,,,,Legorreta,PT,Legorreta,10.5
2016,,16 urte eta gehiago,,,,,Legorreta,PT,Legorreta,11.9
2020,,16 urte eta gehiago,,,,,Legorreta,PT,Legorreta,7.1
2021,,16 urte eta gehiago,,,,,Legorreta,PT,Legorreta,8.4
2015,,16 urte eta gehiago,,,,,Legorreta,PT,Legorreta,15.1
2021,,16 urte eta gehiago,,,,,Legutio,PT,Legutio,12.7
2020,,16 urte eta gehiago,,,,,Legutio,PT,Legutio,9.3
2016,,16 urte eta gehiago,,,,,Legutio,PT,Legutio,13.3
2015,,16 urte eta gehiago,,,,,Legutio,PT,Legutio,13.0
2018,,16 urte eta gehiago,,,,,Legutio,PT,Legutio,8.2
2019,,16 urte eta gehiago,,,,,Legutio,PT,Legutio,10.5
2010,,16 urte eta gehiago,,,,,Legutio,PT,Legutio,7.6
2019,,16 urte eta gehiago,,,,,Leintz-Gatzaga,PT,Leintz-Gatzaga,3.1
2020,,16 urte eta gehiago,,,,,Leintz-Gatzaga,PT,Leintz-Gatzaga,2.5
2018,,16 urte eta gehiago,,,,,Leintz-Gatzaga,PT,Leintz-Gatzaga,6.4
2010,,16 urte eta gehiago,,,,,Leintz-Gatzaga,PT,Leintz-Gatzaga,7.4
2015,,16 urte eta gehiago,,,,,Leintz-Gatzaga,PT,Leintz-Gatzaga,12.3
2021,,16 urte eta gehiago,,,,,Leintz-Gatzaga,PT,Leintz-Gatzaga,5.5
2016,,16 urte eta gehiago,,,,,Leintz-Gatzaga,PT,Leintz-Gatzaga,9.2
2010,,16 urte eta gehiago,,,,,ES48054,PT,ES48054,10.0
2018,,16 urte eta gehiago,,,,,ES48054,PT,ES48054,10.7
2020,,16 urte eta gehiago,,,,,ES48054,PT,ES48054,9.4
2016,,16 urte eta gehiago,,,,,ES48054,PT,ES48054,14.3
2019,,16 urte eta gehiago,,,,,ES48054,PT,ES48054,9.5
2021,,16 urte eta gehiago,,,,,ES48054,PT,ES48054,10.4
2015,,16 urte eta gehiago,,,,,ES48054,PT,ES48054,15.1
2016,,16 urte eta gehiago,,,,,ES48057,PT,ES48057,14.7
2020,,16 urte eta gehiago,,,,,ES48057,PT,ES48057,10.4
2015,,16 urte eta gehiago,,,,,ES48057,PT,ES48057,16.1
2010,,16 urte eta gehiago,,,,,ES48057,PT,ES48057,10.3
2019,,16 urte eta gehiago,,,,,ES48057,PT,ES48057,10.9
2021,,16 urte eta gehiago,,,,,ES48057,PT,ES48057,10.3
2018,,16 urte eta gehiago,,,,,ES48057,PT,ES48057,11.4
2015,,16 urte eta gehiago,,,,,ES48055,PT,ES48055,16.2
2016,,16 urte eta gehiago,,,,,ES48055,PT,ES48055,14.9
2019,,16 urte eta gehiago,,,,,ES48055,PT,ES48055,11.1
2010,,16 urte eta gehiago,,,,,ES48055,PT,ES48055,9.4
2020,,16 urte eta gehiago,,,,,ES48055,PT,ES48055,10.3
2021,,16 urte eta gehiago,,,,,ES48055,PT,ES48055,10.5
2018,,16 urte eta gehiago,,,,,ES48055,PT,ES48055,11.9
2020,,16 urte eta gehiago,,,,,ES48056,PT,ES48056,7.3
2019,,16 urte eta gehiago,,,,,ES48056,PT,ES48056,7.5
2010,,16 urte eta gehiago,,,,,ES48056,PT,ES48056,7.0
2018,,16 urte eta gehiago,,,,,ES48056,PT,ES48056,8.3
2021,,16 urte eta gehiago,,,,,ES48056,PT,ES48056,11.3
2016,,16 urte eta gehiago,,,,,ES48056,PT,ES48056,13.2
2015,,16 urte eta gehiago,,,,,ES48056,PT,ES48056,12.9
2016,,16 urte eta gehiago,,,,,Leza,PT,Leza,10.4
2018,,16 urte eta gehiago,,,,,Leza,PT,Leza,6.6
2019,,16 urte eta gehiago,,,,,Leza,PT,Leza,7.3
2020,,16 urte eta gehiago,,,,,Leza,PT,Leza,6.3
2021,,16 urte eta gehiago,,,,,Leza,PT,Leza,8.2
2010,,16 urte eta gehiago,,,,,Leza,PT,Leza,9.2
2015,,16 urte eta gehiago,,,,,Leza,PT,Leza,12.5
2020,,16 urte eta gehiago,,,,,ES48081,PT,ES48081,7.5
2016,,16 urte eta gehiago,,,,,ES48081,PT,ES48081,10.1
2021,,16 urte eta gehiago,,,,,ES48081,PT,ES48081,8.7
2015,,16 urte eta gehiago,,,,,ES48081,PT,ES48081,11.9
2018,,16 urte eta gehiago,,,,,ES48081,PT,ES48081,7.9
2019,,16 urte eta gehiago,,,,,ES48081,PT,ES48081,7.8
2010,,16 urte eta gehiago,,,,,ES48081,PT,ES48081,6.3
2018,,16 urte eta gehiago,,,,,Lezo,PT,Lezo,8.5
2010,,16 urte eta gehiago,,,,,Lezo,PT,Lezo,8.2
2016,,16 urte eta gehiago,,,,,Lezo,PT,Lezo,12.3
2020,,16 urte eta gehiago,,,,,Lezo,PT,Lezo,8.7
2019,,16 urte eta gehiago,,,,,Lezo,PT,Lezo,8.6
2021,,16 urte eta gehiago,,,,,Lezo,PT,Lezo,9.0
2015,,16 urte eta gehiago,,,,,Lezo,PT,Lezo,13.7
2010,,16 urte eta gehiago,,,,,Lizartza,PT,Lizartza,9.6
2019,,16 urte eta gehiago,,,,,Lizartza,PT,Lizartza,11.4
2018,,16 urte eta gehiago,,,,,Lizartza,PT,Lizartza,12.9
2015,,16 urte eta gehiago,,,,,Lizartza,PT,Lizartza,16.5
2020,,16 urte eta gehiago,,,,,Lizartza,PT,Lizartza,7.3
2021,,16 urte eta gehiago,,,,,Lizartza,PT,Lizartza,8.4
2016,,16 urte eta gehiago,,,,,Lizartza,PT,Lizartza,10.5
2010,,16 urte eta gehiago,,,,,ES48903,PT,ES48903,8.8
2020,,16 urte eta gehiago,,,,,ES48903,PT,ES48903,7.2
2015,,16 urte eta gehiago,,,,,ES48903,PT,ES48903,12.4
2021,,16 urte eta gehiago,,,,,ES48903,PT,ES48903,8.0
2018,,16 urte eta gehiago,,,,,ES48903,PT,ES48903,9.0
2019,,16 urte eta gehiago,,,,,ES48903,PT,ES48903,7.8
2016,,16 urte eta gehiago,,,,,ES48903,PT,ES48903,10.4
2019,,16 urte eta gehiago,,,,,ES48058,PT,ES48058,7.4
2010,,16 urte eta gehiago,,,,,ES48058,PT,ES48058,7.6
2020,,16 urte eta gehiago,,,,,ES48058,PT,ES48058,7.0
2018,,16 urte eta gehiago,,,,,ES48058,PT,ES48058,7.8
2015,,16 urte eta gehiago,,,,,ES48058,PT,ES48058,11.7
2021,,16 urte eta gehiago,,,,,ES48058,PT,ES48058,9.7
2016,,16 urte eta gehiago,,,,,ES48058,PT,ES48058,10.2
2021,,16 urte eta gehiago,,,,,ES48059,PT,ES48059,10.7
2019,,16 urte eta gehiago,,,,,ES48059,PT,ES48059,6.1
2015,,16 urte eta gehiago,,,,,ES48059,PT,ES48059,14.7
2018,,16 urte eta gehiago,,,,,ES48059,PT,ES48059,11.9
2010,,16 urte eta gehiago,,,,,ES48059,PT,ES48059,9.7
2020,,16 urte eta gehiago,,,,,ES48059,PT,ES48059,6.8
2016,,16 urte eta gehiago,,,,,ES48059,PT,ES48059,12.1
2021,,16 urte eta gehiago,,,,,ES48060,PT,ES48060,8.8
2020,,16 urte eta gehiago,,,,,ES48060,PT,ES48060,8.2
2019,,16 urte eta gehiago,,,,,ES48060,PT,ES48060,7.8
2010,,16 urte eta gehiago,,,,,ES48060,PT,ES48060,10.8
2018,,16 urte eta gehiago,,,,,ES48060,PT,ES48060,6.9
2015,,16 urte eta gehiago,,,,,ES48060,PT,ES48060,14.9
2016,,16 urte eta gehiago,,,,,ES48060,PT,ES48060,12.6
2015,,16 urte eta gehiago,,,,,ES48061,PT,ES48061,11.7
2021,,16 urte eta gehiago,,,,,ES48061,PT,ES48061,8.4
2016,,16 urte eta gehiago,,,,,ES48061,PT,ES48061,9.1
2010,,16 urte eta gehiago,,,,,ES48061,PT,ES48061,8.0
2019,,16 urte eta gehiago,,,,,ES48061,PT,ES48061,7.4
2020,,16 urte eta gehiago,,,,,ES48061,PT,ES48061,4.9
2018,,16 urte eta gehiago,,,,,ES48061,PT,ES48061,7.6
2019,,16 urte eta gehiago,,,,,ES20901,PT,ES20901,7.8
2018,,16 urte eta gehiago,,,,,ES20901,PT,ES20901,8.8
2021,,16 urte eta gehiago,,,,,ES20901,PT,ES20901,8.0
2016,,16 urte eta gehiago,,,,,ES20901,PT,ES20901,12.1
2015,,16 urte eta gehiago,,,,,ES20901,PT,ES20901,12.8
2020,,16 urte eta gehiago,,,,,ES20901,PT,ES20901,8.3
2010,,16 urte eta gehiago,,,,,ES20901,PT,ES20901,6.9
2016,,16 urte eta gehiago,,,,,ES48062,PT,ES48062,8.9
2018,,16 urte eta gehiago,,,,,ES48062,PT,ES48062,5.2
2021,,16 urte eta gehiago,,,,,ES48062,PT,ES48062,7.8
2010,,16 urte eta gehiago,,,,,ES48062,PT,ES48062,6.9
2020,,16 urte eta gehiago,,,,,ES48062,PT,ES48062,5.9
2019,,16 urte eta gehiago,,,,,ES48062,PT,ES48062,5.8
2015,,16 urte eta gehiago,,,,,ES48062,PT,ES48062,5.3
2020,,16 urte eta gehiago,,,,,ES48063,PT,ES48063,7.4
2010,,16 urte eta gehiago,,,,,ES48063,PT,ES48063,8.0
2018,,16 urte eta gehiago,,,,,ES48063,PT,ES48063,6.2
2019,,16 urte eta gehiago,,,,,ES48063,PT,ES48063,9.1
2015,,16 urte eta gehiago,,,,,ES48063,PT,ES48063,11.0
2016,,16 urte eta gehiago,,,,,ES48063,PT,ES48063,12.1
2021,,16 urte eta gehiago,,,,,ES48063,PT,ES48063,8.9
2016,,16 urte eta gehiago,,,,,ES48064,PT,ES48064,8.7
2015,,16 urte eta gehiago,,,,,ES48064,PT,ES48064,11.3
2021,,16 urte eta gehiago,,,,,ES48064,PT,ES48064,6.6
2019,,16 urte eta gehiago,,,,,ES48064,PT,ES48064,5.7
2010,,16 urte eta gehiago,,,,,ES48064,PT,ES48064,5.8
2020,,16 urte eta gehiago,,,,,ES48064,PT,ES48064,5.0
2018,,16 urte eta gehiago,,,,,ES48064,PT,ES48064,6.3
2010,,16 urte eta gehiago,,,,,Moreda de Álava / Moreda Araba,PT,Moreda de Álava / Moreda Araba,18.0
2019,,16 urte eta gehiago,,,,,Moreda de Álava / Moreda Araba,PT,Moreda de Álava / Moreda Araba,11.2
2020,,16 urte eta gehiago,,,,,Moreda de Álava / Moreda Araba,PT,Moreda de Álava / Moreda Araba,9.4
2016,,16 urte eta gehiago,,,,,Moreda de Álava / Moreda Araba,PT,Moreda de Álava / Moreda Araba,20.2
2015,,16 urte eta gehiago,,,,,Moreda de Álava / Moreda Araba,PT,Moreda de Álava / Moreda Araba,24.0
2021,,16 urte eta gehiago,,,,,Moreda de Álava / Moreda Araba,PT,Moreda de Álava / Moreda Araba,11.5
2018,,16 urte eta gehiago,,,,,Moreda de Álava / Moreda Araba,PT,Moreda de Álava / Moreda Araba,16.5
2020,,16 urte eta gehiago,,,,,ES48066,PT,ES48066,8.2
2015,,16 urte eta gehiago,,,,,ES48066,PT,ES48066,9.8
2016,,16 urte eta gehiago,,,,,ES48066,PT,ES48066,9.2
2021,,16 urte eta gehiago,,,,,ES48066,PT,ES48066,9.2
2010,,16 urte eta gehiago,,,,,ES48066,PT,ES48066,8.2
2019,,16 urte eta gehiago,,,,,ES48066,PT,ES48066,8.2
2018,,16 urte eta gehiago,,,,,ES48066,PT,ES48066,14.8
2015,,16 urte eta gehiago,,,,,ES48068,PT,ES48068,16.2
2018,,16 urte eta gehiago,,,,,ES48068,PT,ES48068,10.0
2016,,16 urte eta gehiago,,,,,ES48068,PT,ES48068,13.3
2019,,16 urte eta gehiago,,,,,ES48068,PT,ES48068,8.7
2020,,16 urte eta gehiago,,,,,ES48068,PT,ES48068,8.3
2021,,16 urte eta gehiago,,,,,ES48068,PT,ES48068,9.0
2010,,16 urte eta gehiago,,,,,ES48068,PT,ES48068,9.4
2016,,16 urte eta gehiago,,,,,ES48069,PT,ES48069,14.1
2020,,16 urte eta gehiago,,,,,ES48069,PT,ES48069,8.9
2015,,16 urte eta gehiago,,,,,ES48069,PT,ES48069,14.8
2010,,16 urte eta gehiago,,,,,ES48069,PT,ES48069,9.3
2018,,16 urte eta gehiago,,,,,ES48069,PT,ES48069,10.3
2019,,16 urte eta gehiago,,,,,ES48069,PT,ES48069,9.5
2021,,16 urte eta gehiago,,,,,ES48069,PT,ES48069,10.1
2019,,16 urte eta gehiago,,,,,ES48007,PT,ES48007,7.5
2010,,16 urte eta gehiago,,,,,ES48007,PT,ES48007,4.9
2016,,16 urte eta gehiago,,,,,ES48007,PT,ES48007,11.2
2020,,16 urte eta gehiago,,,,,ES48007,PT,ES48007,8.6
2021,,16 urte eta gehiago,,,,,ES48007,PT,ES48007,10.7
2015,,16 urte eta gehiago,,,,,ES48007,PT,ES48007,12.4
2018,,16 urte eta gehiago,,,,,ES48007,PT,ES48007,8.5
2010,,16 urte eta gehiago,,,,,ES48908,PT,ES48908,7.1
2015,,16 urte eta gehiago,,,,,ES48908,PT,ES48908,7.4
2020,,16 urte eta gehiago,,,,,ES48908,PT,ES48908,6.8
2016,,16 urte eta gehiago,,,,,ES48908,PT,ES48908,9.0
2019,,16 urte eta gehiago,,,,,ES48908,PT,ES48908,7.3
2018,,16 urte eta gehiago,,,,,ES48908,PT,ES48908,8.3
2021,,16 urte eta gehiago,,,,,ES48908,PT,ES48908,6.9
2021,,16 urte eta gehiago,,,,,ES48071,PT,ES48071,12.3
2015,,16 urte eta gehiago,,,,,ES48071,PT,ES48071,18.7
2019,,16 urte eta gehiago,,,,,ES48071,PT,ES48071,11.9
2020,,16 urte eta gehiago,,,,,ES48071,PT,ES48071,11.7
2018,,16 urte eta gehiago,,,,,ES48071,PT,ES48071,12.1
2016,,16 urte eta gehiago,,,,,ES48071,PT,ES48071,17.7
2010,,16 urte eta gehiago,,,,,ES48071,PT,ES48071,9.8
2010,,16 urte eta gehiago,,,,,Mutiloa,PT,Mutiloa,5.9
2018,,16 urte eta gehiago,,,,,Mutiloa,PT,Mutiloa,3.3
2021,,16 urte eta gehiago,,,,,Mutiloa,PT,Mutiloa,4.3
2016,,16 urte eta gehiago,,,,,Mutiloa,PT,Mutiloa,6.1
2020,,16 urte eta gehiago,,,,,Mutiloa,PT,Mutiloa,7.8
2015,,16 urte eta gehiago,,,,,Mutiloa,PT,Mutiloa,13.6
2019,,16 urte eta gehiago,,,,,Mutiloa,PT,Mutiloa,3.3
2019,,16 urte eta gehiago,,,,,Mutriku,PT,Mutriku,11.3
2021,,16 urte eta gehiago,,,,,Mutriku,PT,Mutriku,12.0
2015,,16 urte eta gehiago,,,,,Mutriku,PT,Mutriku,14.7
2016,,16 urte eta gehiago,,,,,Mutriku,PT,Mutriku,14.8
2020,,16 urte eta gehiago,,,,,Mutriku,PT,Mutriku,10.9
2010,,16 urte eta gehiago,,,,,Mutriku,PT,Mutriku,9.3
2018,,16 urte eta gehiago,,,,,Mutriku,PT,Mutriku,11.3
2020,,16 urte eta gehiago,,,,,ES48067,PT,ES48067,7.6
2016,,16 urte eta gehiago,,,,,ES48067,PT,ES48067,11.7
2018,,16 urte eta gehiago,,,,,ES48067,PT,ES48067,10.5
2021,,16 urte eta gehiago,,,,,ES48067,PT,ES48067,8.2
2010,,16 urte eta gehiago,,,,,ES48067,PT,ES48067,8.2
2015,,16 urte eta gehiago,,,,,ES48067,PT,ES48067,12.0
2019,,16 urte eta gehiago,,,,,ES48067,PT,ES48067,10.3
2016,,16 urte eta gehiago,,,,,ES48909,PT,ES48909,8.4
2019,,16 urte eta gehiago,,,,,ES48909,PT,ES48909,7.1
2021,,16 urte eta gehiago,,,,,ES48909,PT,ES48909,6.9
2010,,16 urte eta gehiago,,,,,ES48909,PT,ES48909,4.4
2018,,16 urte eta gehiago,,,,,ES48909,PT,ES48909,5.3
2015,,16 urte eta gehiago,,,,,ES48909,PT,ES48909,9.0
2020,,16 urte eta gehiago,,,,,ES48909,PT,ES48909,7.1
2018,,16 urte eta gehiago,,,,,Navaridas,PT,Navaridas,7.4
2015,,16 urte eta gehiago,,,,,Navaridas,PT,Navaridas,16.2
2020,,16 urte eta gehiago,,,,,Navaridas,PT,Navaridas,3.1
2010,,16 urte eta gehiago,,,,,Navaridas,PT,Navaridas,2.2
2016,,16 urte eta gehiago,,,,,Navaridas,PT,Navaridas,9.3
2019,,16 urte eta gehiago,,,,,Navaridas,PT,Navaridas,7.5
2021,,16 urte eta gehiago,,,,,Navaridas,PT,Navaridas,12.3
2016,,16 urte eta gehiago,,,,,Oiartzun,PT,Oiartzun,10.5
2018,,16 urte eta gehiago,,,,,Oiartzun,PT,Oiartzun,7.6
2019,,16 urte eta gehiago,,,,,Oiartzun,PT,Oiartzun,6.4
2015,,16 urte eta gehiago,,,,,Oiartzun,PT,Oiartzun,11.5
2021,,16 urte eta gehiago,,,,,Oiartzun,PT,Oiartzun,7.5
2010,,16 urte eta gehiago,,,,,Oiartzun,PT,Oiartzun,7.2
2020,,16 urte eta gehiago,,,,,Oiartzun,PT,Oiartzun,6.6
2018,,16 urte eta gehiago,,,,,Okondo,PT,Okondo,11.6
2019,,16 urte eta gehiago,,,,,Okondo,PT,Okondo,10.2
2020,,16 urte eta gehiago,,,,,Okondo,PT,Okondo,10.9
2010,,16 urte eta gehiago,,,,,Okondo,PT,Okondo,9.3
2015,,16 urte eta gehiago,,,,,Okondo,PT,Okondo,13.9
2021,,16 urte eta gehiago,,,,,Okondo,PT,Okondo,9.3
2016,,16 urte eta gehiago,,,,,Okondo,PT,Okondo,16.3
2021,,16 urte eta gehiago,,,,,Olaberria,PT,Olaberria,8.5
2010,,16 urte eta gehiago,,,,,Olaberria,PT,Olaberria,7.7
2019,,16 urte eta gehiago,,,,,Olaberria,PT,Olaberria,8.7
2018,,16 urte eta gehiago,,,,,Olaberria,PT,Olaberria,10.0
2016,,16 urte eta gehiago,,,,,Olaberria,PT,Olaberria,12.4
2015,,16 urte eta gehiago,,,,,Olaberria,PT,Olaberria,13.1
2020,,16 urte eta gehiago,,,,,Olaberria,PT,Olaberria,8.8
2019,,16 urte eta gehiago,,,,,ES48073,PT,ES48073,13.2
2015,,16 urte eta gehiago,,,,,ES48073,PT,ES48073,20.7
2016,,16 urte eta gehiago,,,,,ES48073,PT,ES48073,16.7
2010,,16 urte eta gehiago,,,,,ES48073,PT,ES48073,11.5
2021,,16 urte eta gehiago,,,,,ES48073,PT,ES48073,14.7
2018,,16 urte eta gehiago,,,,,ES48073,PT,ES48073,13.8
2020,,16 urte eta gehiago,,,,,ES48073,PT,ES48073,12.0
2019,,16 urte eta gehiago,,,,,Oñati,PT,Oñati,5.5
2010,,16 urte eta gehiago,,,,,Oñati,PT,Oñati,6.3
2018,,16 urte eta gehiago,,,,,Oñati,PT,Oñati,5.8
2015,,16 urte eta gehiago,,,,,Oñati,PT,Oñati,8.8
2021,,16 urte eta gehiago,,,,,Oñati,PT,Oñati,6.7
2020,,16 urte eta gehiago,,,,,Oñati,PT,Oñati,5.5
2016,,16 urte eta gehiago,,,,,Oñati,PT,Oñati,8.2
2010,,16 urte eta gehiago,,,,,Ordizia,PT,Ordizia,8.9
2020,,16 urte eta gehiago,,,,,Ordizia,PT,Ordizia,8.4
2016,,16 urte eta gehiago,,,,,Ordizia,PT,Ordizia,13.1
2021,,16 urte eta gehiago,,,,,Ordizia,PT,Ordizia,9.2
2018,,16 urte eta gehiago,,,,,Ordizia,PT,Ordizia,9.5
2019,,16 urte eta gehiago,,,,,Ordizia,PT,Ordizia,8.5
2015,,16 urte eta gehiago,,,,,Ordizia,PT,Ordizia,14.9
2019,,16 urte eta gehiago,,,,,ES20905,PT,ES20905,3.8
2018,,16 urte eta gehiago,,,,,ES20905,PT,ES20905,3.8
2015,,16 urte eta gehiago,,,,,ES20905,PT,ES20905,8.0
2021,,16 urte eta gehiago,,,,,ES20905,PT,ES20905,2.5
2010,,16 urte eta gehiago,,,,,ES20905,PT,ES20905,4.6
2020,,16 urte eta gehiago,,,,,ES20905,PT,ES20905,2.8
2016,,16 urte eta gehiago,,,,,ES20905,PT,ES20905,5.7
2015,,16 urte eta gehiago,,,,,Orexa,PT,Orexa,5.4
2016,,16 urte eta gehiago,,,,,Orexa,PT,Orexa,1.7
2010,,16 urte eta gehiago,,,,,Orexa,PT,Orexa,7.9
2021,,16 urte eta gehiago,,,,,Orexa,PT,Orexa,2.0
2018,,16 urte eta gehiago,,,,,Orexa,PT,Orexa,1.9
2019,,16 urte eta gehiago,,,,,Orexa,PT,Orexa,3.7
2020,,16 urte eta gehiago,,,,,Orexa,PT,Orexa,5.6
2016,,16 urte eta gehiago,,,,,Orio,PT,Orio,13.7
2019,,16 urte eta gehiago,,,,,Orio,PT,Orio,9.5
2021,,16 urte eta gehiago,,,,,Orio,PT,Orio,10.5
2018,,16 urte eta gehiago,,,,,Orio,PT,Orio,10.9
2010,,16 urte eta gehiago,,,,,Orio,PT,Orio,8.0
2020,,16 urte eta gehiago,,,,,Orio,PT,Orio,10.1
2015,,16 urte eta gehiago,,,,,Orio,PT,Orio,15.9
2016,,16 urte eta gehiago,,,,,Ormaiztegi,PT,Ormaiztegi,10.6
2018,,16 urte eta gehiago,,,,,Ormaiztegi,PT,Ormaiztegi,10.2
2021,,16 urte eta gehiago,,,,,Ormaiztegi,PT,Ormaiztegi,7.5
2020,,16 urte eta gehiago,,,,,Ormaiztegi,PT,Ormaiztegi,7.0
2019,,16 urte eta gehiago,,,,,Ormaiztegi,PT,Ormaiztegi,7.0
2010,,16 urte eta gehiago,,,,,Ormaiztegi,PT,Ormaiztegi,7.7
2015,,16 urte eta gehiago,,,,,Ormaiztegi,PT,Ormaiztegi,11.2
2021,,16 urte eta gehiago,,,,,ES48075,PT,ES48075,10.5
2010,,16 urte eta gehiago,,,,,ES48075,PT,ES48075,6.3
2020,,16 urte eta gehiago,,,,,ES48075,PT,ES48075,9.5
2018,,16 urte eta gehiago,,,,,ES48075,PT,ES48075,10.0
2019,,16 urte eta gehiago,,,,,ES48075,PT,ES48075,8.9
2016,,16 urte eta gehiago,,,,,ES48075,PT,ES48075,12.4
2015,,16 urte eta gehiago,,,,,ES48075,PT,ES48075,12.6
2010,,16 urte eta gehiago,,,,,ES48083,PT,ES48083,9.5
2019,,16 urte eta gehiago,,,,,ES48083,PT,ES48083,14.1
2015,,16 urte eta gehiago,,,,,ES48083,PT,ES48083,19.7
2016,,16 urte eta gehiago,,,,,ES48083,PT,ES48083,19.9
2020,,16 urte eta gehiago,,,,,ES48083,PT,ES48083,12.6
2018,,16 urte eta gehiago,,,,,ES48083,PT,ES48083,15.0
2021,,16 urte eta gehiago,,,,,ES48083,PT,ES48083,15.2
2020,,16 urte eta gehiago,,,,,ES48072,PT,ES48072,7.8
2019,,16 urte eta gehiago,,,,,ES48072,PT,ES48072,8.1
2010,,16 urte eta gehiago,,,,,ES48072,PT,ES48072,8.3
2021,,16 urte eta gehiago,,,,,ES48072,PT,ES48072,9.0
2015,,16 urte eta gehiago,,,,,ES48072,PT,ES48072,11.9
2018,,16 urte eta gehiago,,,,,ES48072,PT,ES48072,9.0
2016,,16 urte eta gehiago,,,,,ES48072,PT,ES48072,12.3
2016,,16 urte eta gehiago,,,,,Oyón-Oion,PT,Oyón-Oion,25.0
2015,,16 urte eta gehiago,,,,,Oyón-Oion,PT,Oyón-Oion,24.7
2010,,16 urte eta gehiago,,,,,Oyón-Oion,PT,Oyón-Oion,20.8
2019,,16 urte eta gehiago,,,,,Oyón-Oion,PT,Oyón-Oion,19.2
