Year,Series,Units,Value
2011,Emisiones de dióxido de carbono procedentes de la quema de combustibles,Kg de CO2 equivalente por euro de PIB,0.2
2014,Emisiones de dióxido de carbono procedentes de la quema de combustibles,Kg de CO2 equivalente por euro de PIB,0.2
2017,Emisiones de dióxido de carbono procedentes de la quema de combustibles,Kg de CO2 equivalente por euro de PIB,0.2
2020,Emisiones de dióxido de carbono procedentes de la quema de combustibles,Kg de CO2 equivalente por euro de PIB,0.2
2010,Emisiones de dióxido de carbono procedentes de la quema de combustibles,Kg de CO2 equivalente por euro de PIB,0.2
2022,Emisiones de dióxido de carbono procedentes de la quema de combustibles,Kg de CO2 equivalente por euro de PIB,0.2
2015,Emisiones de dióxido de carbono procedentes de la quema de combustibles,Kg de CO2 equivalente por euro de PIB,0.2
2016,Emisiones de dióxido de carbono procedentes de la quema de combustibles,Kg de CO2 equivalente por euro de PIB,0.2
2021,Emisiones de dióxido de carbono procedentes de la quema de combustibles,Kg de CO2 equivalente por euro de PIB,0.2
2018,Emisiones de dióxido de carbono procedentes de la quema de combustibles,Kg de CO2 equivalente por euro de PIB,0.2
2012,Emisiones de dióxido de carbono procedentes de la quema de combustibles,Kg de CO2 equivalente por euro de PIB,0.2
2019,Emisiones de dióxido de carbono procedentes de la quema de combustibles,Kg de CO2 equivalente por euro de PIB,0.2
2013,Emisiones de dióxido de carbono procedentes de la quema de combustibles,Kg de CO2 equivalente por euro de PIB,0.2
2010,Emisiones de dióxido de carbono por unidad de valor añadido del sector manufacturero ,Kg de CO2 equivalente por euro de PIB,0.5
2011,Emisiones de dióxido de carbono por unidad de valor añadido del sector manufacturero ,Kg de CO2 equivalente por euro de PIB,0.4
2012,Emisiones de dióxido de carbono por unidad de valor añadido del sector manufacturero ,Kg de CO2 equivalente por euro de PIB,0.5
2013,Emisiones de dióxido de carbono por unidad de valor añadido del sector manufacturero ,Kg de CO2 equivalente por euro de PIB,0.5
2014,Emisiones de dióxido de carbono por unidad de valor añadido del sector manufacturero ,Kg de CO2 equivalente por euro de PIB,0.5
2015,Emisiones de dióxido de carbono por unidad de valor añadido del sector manufacturero ,Kg de CO2 equivalente por euro de PIB,0.5
2016,Emisiones de dióxido de carbono por unidad de valor añadido del sector manufacturero ,Kg de CO2 equivalente por euro de PIB,0.4
2017,Emisiones de dióxido de carbono por unidad de valor añadido del sector manufacturero ,Kg de CO2 equivalente por euro de PIB,0.4
2018,Emisiones de dióxido de carbono por unidad de valor añadido del sector manufacturero ,Kg de CO2 equivalente por euro de PIB,0.4
2019,Emisiones de dióxido de carbono por unidad de valor añadido del sector manufacturero ,Kg de CO2 equivalente por euro de PIB,0.4
2020,Emisiones de dióxido de carbono por unidad de valor añadido del sector manufacturero ,Kg de CO2 equivalente por euro de PIB,0.4
2021,Emisiones de dióxido de carbono por unidad de valor añadido del sector manufacturero ,Kg de CO2 equivalente por euro de PIB,0.4
2022,Emisiones de dióxido de carbono por unidad de valor añadido del sector manufacturero ,Kg de CO2 equivalente por euro de PIB,0.4
