Year,Series,Units,Value
2015,SE_TOT_CPLR,PT,94.7
2021,SE_TOT_CPLR,PT,98.1
2019,SE_TOT_CPLR,PT,97.0
2018,SE_TOT_CPLR,PT,95.2
2019,SE_TOT_CPLR,PT,82.7
2015,SE_TOT_CPLR,PT,79.4
2021,SE_TOT_CPLR,PT,82.9
2020,SE_TOT_CPLR,PT,99.4
2016,SE_TOT_CPLR,PT,95.5
2017,SE_TOT_CPLR,PT,77.9
2022,SE_TOT_CPLR,PT,94.9
2018,SE_TOT_CPLR,PT,80.9
2016,SE_TOT_CPLR,PT,79.1
2020,SE_TOT_CPLR,PT,81.5
2017,SE_TOT_CPLR,PT,96.0
2022,SE_TOT_CPLR,PT,84.7
