Year,Series,NCD,Sexo,Territorio,Units,Value
2017,EU_SH_DTH_NCOM,DIABTS,,ES211,PER_100000_POP,16.9
2014,EU_SH_DTH_NCOM,DIABTS,,ES211,PER_100000_POP,12.5
2022,EU_SH_DTH_NCOM,DIABTS,,ES211,PER_100000_POP,19.6
2012,EU_SH_DTH_NCOM,DIABTS,,ES211,PER_100000_POP,19.3
2019,EU_SH_DTH_NCOM,DIABTS,,ES211,PER_100000_POP,14.0
2020,EU_SH_DTH_NCOM,DIABTS,,ES211,PER_100000_POP,19.4
2016,EU_SH_DTH_NCOM,DIABTS,,ES211,PER_100000_POP,17.3
2011,EU_SH_DTH_NCOM,DIABTS,,ES211,PER_100000_POP,22.5
2018,EU_SH_DTH_NCOM,DIABTS,,ES211,PER_100000_POP,17.1
2010,EU_SH_DTH_NCOM,DIABTS,,ES211,PER_100000_POP,25.5
2019,EU_SH_DTH_NCOM,DIABTS,,ES213,PER_100000_POP,23.4
2012,EU_SH_DTH_NCOM,DIABTS,,ES213,PER_100000_POP,21.8
2021,EU_SH_DTH_NCOM,DIABTS,,ES213,PER_100000_POP,22.1
2015,EU_SH_DTH_NCOM,DIABTS,,ES213,PER_100000_POP,23.8
2011,EU_SH_DTH_NCOM,DIABTS,,ES213,PER_100000_POP,21.9
2010,EU_SH_DTH_NCOM,DIABTS,,ES213,PER_100000_POP,22.0
2017,EU_SH_DTH_NCOM,DIABTS,,ES213,PER_100000_POP,18.0
2016,EU_SH_DTH_NCOM,DIABTS,,ES213,PER_100000_POP,20.7
2022,EU_SH_DTH_NCOM,DIABTS,,ES213,PER_100000_POP,21.6
2020,EU_SH_DTH_NCOM,DIABTS,,ES213,PER_100000_POP,24.4
2014,EU_SH_DTH_NCOM,DIABTS,,ES213,PER_100000_POP,22.3
2013,EU_SH_DTH_NCOM,DIABTS,,ES213,PER_100000_POP,22.4
2018,EU_SH_DTH_NCOM,DIABTS,,ES213,PER_100000_POP,20.4
2010,EU_SH_DTH_NCOM,DIABTS,,ES212,PER_100000_POP,26.1
2015,EU_SH_DTH_NCOM,DIABTS,,ES212,PER_100000_POP,20.3
2017,EU_SH_DTH_NCOM,DIABTS,,ES212,PER_100000_POP,16.7
2014,EU_SH_DTH_NCOM,DIABTS,,ES212,PER_100000_POP,19.9
2022,EU_SH_DTH_NCOM,DIABTS,,ES212,PER_100000_POP,24.1
2013,EU_SH_DTH_NCOM,DIABTS,,ES212,PER_100000_POP,25.3
2016,EU_SH_DTH_NCOM,DIABTS,,ES212,PER_100000_POP,18.4
2012,EU_SH_DTH_NCOM,DIABTS,,ES212,PER_100000_POP,22.8
2020,EU_SH_DTH_NCOM,DIABTS,,ES212,PER_100000_POP,21.7
2011,EU_SH_DTH_NCOM,DIABTS,,ES212,PER_100000_POP,22.0
2019,EU_SH_DTH_NCOM,DIABTS,,ES212,PER_100000_POP,19.5
2018,EU_SH_DTH_NCOM,DIABTS,,ES212,PER_100000_POP,22.2
2021,EU_SH_DTH_NCOM,DIABTS,,ES212,PER_100000_POP,18.3
2017,EU_SH_DTH_NCOM,DIABTS,F,,PER_100000_POP,18.5
2010,EU_SH_DTH_NCOM,DIABTS,F,,PER_100000_POP,26.6
2011,EU_SH_DTH_NCOM,DIABTS,F,,PER_100000_POP,24.5
2021,EU_SH_DTH_NCOM,DIABTS,F,,PER_100000_POP,23.1
2016,EU_SH_DTH_NCOM,DIABTS,F,,PER_100000_POP,20.2
2022,EU_SH_DTH_NCOM,DIABTS,F,,PER_100000_POP,22.8
2018,EU_SH_DTH_NCOM,DIABTS,F,,PER_100000_POP,22.2
2014,EU_SH_DTH_NCOM,DIABTS,F,,PER_100000_POP,22.4
2013,EU_SH_DTH_NCOM,DIABTS,F,,PER_100000_POP,27.0
2012,EU_SH_DTH_NCOM,DIABTS,F,,PER_100000_POP,24.3
2019,EU_SH_DTH_NCOM,DIABTS,F,,PER_100000_POP,22.8
2015,EU_SH_DTH_NCOM,DIABTS,F,,PER_100000_POP,24.2
2020,EU_SH_DTH_NCOM,DIABTS,F,,PER_100000_POP,23.2
2015,EU_SH_DTH_NCOM,DIABTS,F,ES211,PER_100000_POP,22.1
2012,EU_SH_DTH_NCOM,DIABTS,F,ES211,PER_100000_POP,19.2
2020,EU_SH_DTH_NCOM,DIABTS,F,ES211,PER_100000_POP,19.1
2021,EU_SH_DTH_NCOM,DIABTS,F,ES211,PER_100000_POP,22.6
2010,EU_SH_DTH_NCOM,DIABTS,F,ES211,PER_100000_POP,28.2
2014,EU_SH_DTH_NCOM,DIABTS,F,ES211,PER_100000_POP,14.8
2011,EU_SH_DTH_NCOM,DIABTS,F,ES211,PER_100000_POP,29.2
2018,EU_SH_DTH_NCOM,DIABTS,F,ES211,PER_100000_POP,20.5
2013,EU_SH_DTH_NCOM,DIABTS,F,ES211,PER_100000_POP,19.8
2022,EU_SH_DTH_NCOM,DIABTS,F,ES211,PER_100000_POP,17.7
2017,EU_SH_DTH_NCOM,DIABTS,F,ES211,PER_100000_POP,20.0
2019,EU_SH_DTH_NCOM,DIABTS,F,ES211,PER_100000_POP,14.9
2016,EU_SH_DTH_NCOM,DIABTS,F,ES211,PER_100000_POP,18.9
2010,EU_SH_DTH_NCOM,DIABTS,F,ES213,PER_100000_POP,24.9
2015,EU_SH_DTH_NCOM,DIABTS,F,ES213,PER_100000_POP,25.7
2013,EU_SH_DTH_NCOM,DIABTS,F,ES213,PER_100000_POP,28.5
2018,EU_SH_DTH_NCOM,DIABTS,F,ES213,PER_100000_POP,22.6
2014,EU_SH_DTH_NCOM,DIABTS,F,ES213,PER_100000_POP,25.5
2022,EU_SH_DTH_NCOM,DIABTS,F,ES213,PER_100000_POP,23.6
2012,EU_SH_DTH_NCOM,DIABTS,F,ES213,PER_100000_POP,24.2
2016,EU_SH_DTH_NCOM,DIABTS,F,ES213,PER_100000_POP,22.0
2011,EU_SH_DTH_NCOM,DIABTS,F,ES213,PER_100000_POP,21.8
2020,EU_SH_DTH_NCOM,DIABTS,F,ES213,PER_100000_POP,25.2
2017,EU_SH_DTH_NCOM,DIABTS,F,ES213,PER_100000_POP,19.1
2019,EU_SH_DTH_NCOM,DIABTS,F,ES213,PER_100000_POP,26.1
2021,EU_SH_DTH_NCOM,DIABTS,F,ES213,PER_100000_POP,25.7
2012,EU_SH_DTH_NCOM,DIABTS,F,ES212,PER_100000_POP,26.6
2014,EU_SH_DTH_NCOM,DIABTS,F,ES212,PER_100000_POP,20.7
2022,EU_SH_DTH_NCOM,DIABTS,F,ES212,PER_100000_POP,23.7
2016,EU_SH_DTH_NCOM,DIABTS,F,ES212,PER_100000_POP,17.9
2018,EU_SH_DTH_NCOM,DIABTS,F,ES212,PER_100000_POP,22.4
2020,EU_SH_DTH_NCOM,DIABTS,F,ES212,PER_100000_POP,21.7
2010,EU_SH_DTH_NCOM,DIABTS,F,ES212,PER_100000_POP,28.8
2017,EU_SH_DTH_NCOM,DIABTS,F,ES212,PER_100000_POP,16.7
2019,EU_SH_DTH_NCOM,DIABTS,F,ES212,PER_100000_POP,21.2
2021,EU_SH_DTH_NCOM,DIABTS,F,ES212,PER_100000_POP,19.1
2013,EU_SH_DTH_NCOM,DIABTS,F,ES212,PER_100000_POP,27.7
2011,EU_SH_DTH_NCOM,DIABTS,F,ES212,PER_100000_POP,26.7
2015,EU_SH_DTH_NCOM,DIABTS,F,ES212,PER_100000_POP,22.6
2012,EU_SH_DTH_NCOM,DIABTS,M,,PER_100000_POP,19.1
2020,EU_SH_DTH_NCOM,DIABTS,M,,PER_100000_POP,22.3
2014,EU_SH_DTH_NCOM,DIABTS,M,,PER_100000_POP,17.6
2022,EU_SH_DTH_NCOM,DIABTS,M,,PER_100000_POP,21.5
2018,EU_SH_DTH_NCOM,DIABTS,M,,PER_100000_POP,18.7
2013,EU_SH_DTH_NCOM,DIABTS,M,,PER_100000_POP,19.2
2017,EU_SH_DTH_NCOM,DIABTS,M,,PER_100000_POP,16.3
2021,EU_SH_DTH_NCOM,DIABTS,M,,PER_100000_POP,18.7
2010,EU_SH_DTH_NCOM,DIABTS,M,,PER_100000_POP,20.9
2011,EU_SH_DTH_NCOM,DIABTS,M,,PER_100000_POP,19.5
2015,EU_SH_DTH_NCOM,DIABTS,M,,PER_100000_POP,20.2
2019,EU_SH_DTH_NCOM,DIABTS,M,,PER_100000_POP,18.4
2016,EU_SH_DTH_NCOM,DIABTS,M,,PER_100000_POP,18.7
2021,EU_SH_DTH_NCOM,DIABTS,M,ES211,PER_100000_POP,23.4
2020,EU_SH_DTH_NCOM,DIABTS,M,ES211,PER_100000_POP,19.7
2022,EU_SH_DTH_NCOM,DIABTS,M,ES211,PER_100000_POP,21.5
2019,EU_SH_DTH_NCOM,DIABTS,M,ES211,PER_100000_POP,13.0
2014,EU_SH_DTH_NCOM,DIABTS,M,ES211,PER_100000_POP,10.1
2011,EU_SH_DTH_NCOM,DIABTS,M,ES211,PER_100000_POP,15.7
2012,EU_SH_DTH_NCOM,DIABTS,M,ES211,PER_100000_POP,19.4
2010,EU_SH_DTH_NCOM,DIABTS,M,ES211,PER_100000_POP,22.7
2016,EU_SH_DTH_NCOM,DIABTS,M,ES211,PER_100000_POP,15.7
2018,EU_SH_DTH_NCOM,DIABTS,M,ES211,PER_100000_POP,13.7
2013,EU_SH_DTH_NCOM,DIABTS,M,ES211,PER_100000_POP,22.7
2017,EU_SH_DTH_NCOM,DIABTS,M,ES211,PER_100000_POP,13.8
2015,EU_SH_DTH_NCOM,DIABTS,M,ES211,PER_100000_POP,20.1
2021,EU_SH_DTH_NCOM,DIABTS,M,ES213,PER_100000_POP,18.2
2015,EU_SH_DTH_NCOM,DIABTS,M,ES213,PER_100000_POP,21.7
2022,EU_SH_DTH_NCOM,DIABTS,M,ES213,PER_100000_POP,19.5
2011,EU_SH_DTH_NCOM,DIABTS,M,ES213,PER_100000_POP,22.0
2019,EU_SH_DTH_NCOM,DIABTS,M,ES213,PER_100000_POP,20.5
2013,EU_SH_DTH_NCOM,DIABTS,M,ES213,PER_100000_POP,15.9
2010,EU_SH_DTH_NCOM,DIABTS,M,ES213,PER_100000_POP,19.0
2017,EU_SH_DTH_NCOM,DIABTS,M,ES213,PER_100000_POP,16.8
2012,EU_SH_DTH_NCOM,DIABTS,M,ES213,PER_100000_POP,19.2
2014,EU_SH_DTH_NCOM,DIABTS,M,ES213,PER_100000_POP,18.9
2016,EU_SH_DTH_NCOM,DIABTS,M,ES213,PER_100000_POP,19.3
2018,EU_SH_DTH_NCOM,DIABTS,M,ES213,PER_100000_POP,18.0
2020,EU_SH_DTH_NCOM,DIABTS,M,ES213,PER_100000_POP,23.6
2014,EU_SH_DTH_NCOM,DIABTS,M,ES212,PER_100000_POP,19.0
2022,EU_SH_DTH_NCOM,DIABTS,M,ES212,PER_100000_POP,24.5
2010,EU_SH_DTH_NCOM,DIABTS,M,ES212,PER_100000_POP,23.2
2015,EU_SH_DTH_NCOM,DIABTS,M,ES212,PER_100000_POP,17.8
2018,EU_SH_DTH_NCOM,DIABTS,M,ES212,PER_100000_POP,22.0
2012,EU_SH_DTH_NCOM,DIABTS,M,ES212,PER_100000_POP,18.8
2016,EU_SH_DTH_NCOM,DIABTS,M,ES212,PER_100000_POP,19.0
2011,EU_SH_DTH_NCOM,DIABTS,M,ES212,PER_100000_POP,17.1
2020,EU_SH_DTH_NCOM,DIABTS,M,ES212,PER_100000_POP,21.6
2013,EU_SH_DTH_NCOM,DIABTS,M,ES212,PER_100000_POP,22.8
2017,EU_SH_DTH_NCOM,DIABTS,M,ES212,PER_100000_POP,16.6
2019,EU_SH_DTH_NCOM,DIABTS,M,ES212,PER_100000_POP,17.6
2021,EU_SH_DTH_NCOM,DIABTS,M,ES212,PER_100000_POP,17.4
2013,EU_SH_DTH_NCOM,CRESPD,,,PER_100000_POP,69.2
2014,EU_SH_DTH_NCOM,CRESPD,,,PER_100000_POP,68.7
2021,EU_SH_DTH_NCOM,CRESPD,,,PER_100000_POP,54.6
2012,EU_SH_DTH_NCOM,CRESPD,,,PER_100000_POP,71.1
2016,EU_SH_DTH_NCOM,CRESPD,,,PER_100000_POP,76.3
2010,EU_SH_DTH_NCOM,CRESPD,,,PER_100000_POP,63.5
2020,EU_SH_DTH_NCOM,CRESPD,,,PER_100000_POP,56.0
2019,EU_SH_DTH_NCOM,CRESPD,,,PER_100000_POP,76.6
2017,EU_SH_DTH_NCOM,CRESPD,,,PER_100000_POP,82.8
2018,EU_SH_DTH_NCOM,CRESPD,,,PER_100000_POP,81.7
2022,EU_SH_DTH_NCOM,CRESPD,,,PER_100000_POP,58.3
2015,EU_SH_DTH_NCOM,CRESPD,,,PER_100000_POP,78.8
2011,EU_SH_DTH_NCOM,CRESPD,,,PER_100000_POP,65.4
2021,EU_SH_DTH_NCOM,CRESPD,,ES211,PER_100000_POP,45.1
2017,EU_SH_DTH_NCOM,CRESPD,,ES211,PER_100000_POP,68.7
2022,EU_SH_DTH_NCOM,CRESPD,,ES211,PER_100000_POP,56.0
2020,EU_SH_DTH_NCOM,CRESPD,,ES211,PER_100000_POP,57.8
2015,EU_SH_DTH_NCOM,CRESPD,,ES211,PER_100000_POP,69.2
2019,EU_SH_DTH_NCOM,CRESPD,,ES211,PER_100000_POP,77.8
2012,EU_SH_DTH_NCOM,CRESPD,,ES211,PER_100000_POP,66.0
2013,EU_SH_DTH_NCOM,CRESPD,,ES211,PER_100000_POP,71.5
2010,EU_SH_DTH_NCOM,CRESPD,,ES211,PER_100000_POP,55.4
2011,EU_SH_DTH_NCOM,CRESPD,,ES211,PER_100000_POP,57.4
2018,EU_SH_DTH_NCOM,CRESPD,,ES211,PER_100000_POP,68.9
2016,EU_SH_DTH_NCOM,CRESPD,,ES211,PER_100000_POP,67.8
2014,EU_SH_DTH_NCOM,CRESPD,,ES211,PER_100000_POP,57.6
2012,EU_SH_DTH_NCOM,CRESPD,,ES213,PER_100000_POP,72.9
2017,EU_SH_DTH_NCOM,CRESPD,,ES213,PER_100000_POP,89.0
2010,EU_SH_DTH_NCOM,CRESPD,,ES213,PER_100000_POP,64.1
2016,EU_SH_DTH_NCOM,CRESPD,,ES213,PER_100000_POP,79.5
2020,EU_SH_DTH_NCOM,CRESPD,,ES213,PER_100000_POP,57.2
2011,EU_SH_DTH_NCOM,CRESPD,,ES213,PER_100000_POP,67.4
2014,EU_SH_DTH_NCOM,CRESPD,,ES213,PER_100000_POP,68.9
2018,EU_SH_DTH_NCOM,CRESPD,,ES213,PER_100000_POP,89.1
2021,EU_SH_DTH_NCOM,CRESPD,,ES213,PER_100000_POP,57.9
2015,EU_SH_DTH_NCOM,CRESPD,,ES213,PER_100000_POP,83.8
2019,EU_SH_DTH_NCOM,CRESPD,,ES213,PER_100000_POP,79.1
2022,EU_SH_DTH_NCOM,CRESPD,,ES213,PER_100000_POP,61.3
2013,EU_SH_DTH_NCOM,CRESPD,,ES213,PER_100000_POP,71.0
2022,EU_SH_DTH_NCOM,CRESPD,,ES212,PER_100000_POP,54.6
2021,EU_SH_DTH_NCOM,CRESPD,,ES212,PER_100000_POP,53.6
2012,EU_SH_DTH_NCOM,CRESPD,,ES212,PER_100000_POP,70.5
2011,EU_SH_DTH_NCOM,CRESPD,,ES212,PER_100000_POP,65.7
2015,EU_SH_DTH_NCOM,CRESPD,,ES212,PER_100000_POP,75.2
2019,EU_SH_DTH_NCOM,CRESPD,,ES212,PER_100000_POP,71.9
2014,EU_SH_DTH_NCOM,CRESPD,,ES212,PER_100000_POP,73.5
2018,EU_SH_DTH_NCOM,CRESPD,,ES212,PER_100000_POP,75.7
2017,EU_SH_DTH_NCOM,CRESPD,,ES212,PER_100000_POP,79.3
2020,EU_SH_DTH_NCOM,CRESPD,,ES212,PER_100000_POP,53.2
2016,EU_SH_DTH_NCOM,CRESPD,,ES212,PER_100000_POP,75.0
2010,EU_SH_DTH_NCOM,CRESPD,,ES212,PER_100000_POP,66.3
2013,EU_SH_DTH_NCOM,CRESPD,,ES212,PER_100000_POP,65.2
2011,EU_SH_DTH_NCOM,CRESPD,F,,PER_100000_POP,53.7
2013,EU_SH_DTH_NCOM,CRESPD,F,,PER_100000_POP,60.1
2018,EU_SH_DTH_NCOM,CRESPD,F,,PER_100000_POP,75.0
2022,EU_SH_DTH_NCOM,CRESPD,F,,PER_100000_POP,50.0
2016,EU_SH_DTH_NCOM,CRESPD,F,,PER_100000_POP,67.9
2017,EU_SH_DTH_NCOM,CRESPD,F,,PER_100000_POP,76.2
2014,EU_SH_DTH_NCOM,CRESPD,F,,PER_100000_POP,60.0
2010,EU_SH_DTH_NCOM,CRESPD,F,,PER_100000_POP,52.5
2019,EU_SH_DTH_NCOM,CRESPD,F,,PER_100000_POP,68.1
2020,EU_SH_DTH_NCOM,CRESPD,F,,PER_100000_POP,49.8
2021,EU_SH_DTH_NCOM,CRESPD,F,,PER_100000_POP,43.8
2015,EU_SH_DTH_NCOM,CRESPD,F,,PER_100000_POP,68.2
2012,EU_SH_DTH_NCOM,CRESPD,F,,PER_100000_POP,60.5
2010,EU_SH_DTH_NCOM,CRESPD,F,ES211,PER_100000_POP,40.8
2016,EU_SH_DTH_NCOM,CRESPD,F,ES211,PER_100000_POP,58.7
2014,EU_SH_DTH_NCOM,CRESPD,F,ES211,PER_100000_POP,48.1
2012,EU_SH_DTH_NCOM,CRESPD,F,ES211,PER_100000_POP,45.8
2017,EU_SH_DTH_NCOM,CRESPD,F,ES211,PER_100000_POP,61.3
2011,EU_SH_DTH_NCOM,CRESPD,F,ES211,PER_100000_POP,42.3
2013,EU_SH_DTH_NCOM,CRESPD,F,ES211,PER_100000_POP,57.6
2015,EU_SH_DTH_NCOM,CRESPD,F,ES211,PER_100000_POP,59.5
2021,EU_SH_DTH_NCOM,CRESPD,F,ES211,PER_100000_POP,37.5
2020,EU_SH_DTH_NCOM,CRESPD,F,ES211,PER_100000_POP,48.8
2018,EU_SH_DTH_NCOM,CRESPD,F,ES211,PER_100000_POP,62.1
2022,EU_SH_DTH_NCOM,CRESPD,F,ES211,PER_100000_POP,47.9
2019,EU_SH_DTH_NCOM,CRESPD,F,ES211,PER_100000_POP,64.0
2020,EU_SH_DTH_NCOM,CRESPD,F,ES213,PER_100000_POP,51.6
2016,EU_SH_DTH_NCOM,CRESPD,F,ES213,PER_100000_POP,68.6
2022,EU_SH_DTH_NCOM,CRESPD,F,ES213,PER_100000_POP,52.3
2014,EU_SH_DTH_NCOM,CRESPD,F,ES213,PER_100000_POP,57.8
2011,EU_SH_DTH_NCOM,CRESPD,F,ES213,PER_100000_POP,53.3
2013,EU_SH_DTH_NCOM,CRESPD,F,ES213,PER_100000_POP,61.8
2015,EU_SH_DTH_NCOM,CRESPD,F,ES213,PER_100000_POP,72.3
2017,EU_SH_DTH_NCOM,CRESPD,F,ES213,PER_100000_POP,81.7
2021,EU_SH_DTH_NCOM,CRESPD,F,ES213,PER_100000_POP,46.9
2019,EU_SH_DTH_NCOM,CRESPD,F,ES213,PER_100000_POP,71.1
2010,EU_SH_DTH_NCOM,CRESPD,F,ES213,PER_100000_POP,51.0
2012,EU_SH_DTH_NCOM,CRESPD,F,ES213,PER_100000_POP,60.0
2018,EU_SH_DTH_NCOM,CRESPD,F,ES213,PER_100000_POP,80.8
2019,EU_SH_DTH_NCOM,CRESPD,F,ES212,PER_100000_POP,65.0
2016,EU_SH_DTH_NCOM,CRESPD,F,ES212,PER_100000_POP,71.0
2012,EU_SH_DTH_NCOM,CRESPD,F,ES212,PER_100000_POP,68.0
2011,EU_SH_DTH_NCOM,CRESPD,F,ES212,PER_100000_POP,59.6
2018,EU_SH_DTH_NCOM,CRESPD,F,ES212,PER_100000_POP,71.3
2022,EU_SH_DTH_NCOM,CRESPD,F,ES212,PER_100000_POP,47.1
2010,EU_SH_DTH_NCOM,CRESPD,F,ES212,PER_100000_POP,60.2
2020,EU_SH_DTH_NCOM,CRESPD,F,ES212,PER_100000_POP,47.3
2017,EU_SH_DTH_NCOM,CRESPD,F,ES212,PER_100000_POP,74.0
2014,EU_SH_DTH_NCOM,CRESPD,F,ES212,PER_100000_POP,68.8
2015,EU_SH_DTH_NCOM,CRESPD,F,ES212,PER_100000_POP,65.4
2021,EU_SH_DTH_NCOM,CRESPD,F,ES212,PER_100000_POP,41.7
2013,EU_SH_DTH_NCOM,CRESPD,F,ES212,PER_100000_POP,58.4
2016,EU_SH_DTH_NCOM,CRESPD,M,,PER_100000_POP,85.2
2017,EU_SH_DTH_NCOM,CRESPD,M,,PER_100000_POP,89.9
2019,EU_SH_DTH_NCOM,CRESPD,M,,PER_100000_POP,85.6
2014,EU_SH_DTH_NCOM,CRESPD,M,,PER_100000_POP,77.9
2015,EU_SH_DTH_NCOM,CRESPD,M,,PER_100000_POP,90.1
2011,EU_SH_DTH_NCOM,CRESPD,M,,PER_100000_POP,77.6
2012,EU_SH_DTH_NCOM,CRESPD,M,,PER_100000_POP,82.2
2021,EU_SH_DTH_NCOM,CRESPD,M,,PER_100000_POP,66.0
2018,EU_SH_DTH_NCOM,CRESPD,M,,PER_100000_POP,88.8
2010,EU_SH_DTH_NCOM,CRESPD,M,,PER_100000_POP,75.1
2022,EU_SH_DTH_NCOM,CRESPD,M,,PER_100000_POP,67.2
2020,EU_SH_DTH_NCOM,CRESPD,M,,PER_100000_POP,62.6
2013,EU_SH_DTH_NCOM,CRESPD,M,,PER_100000_POP,78.8
2010,EU_SH_DTH_NCOM,CRESPD,M,ES211,PER_100000_POP,70.0
2020,EU_SH_DTH_NCOM,CRESPD,M,ES211,PER_100000_POP,67.2
2013,EU_SH_DTH_NCOM,CRESPD,M,ES211,PER_100000_POP,85.7
2011,EU_SH_DTH_NCOM,CRESPD,M,ES211,PER_100000_POP,72.7
2021,EU_SH_DTH_NCOM,CRESPD,M,ES211,PER_100000_POP,53.0
2015,EU_SH_DTH_NCOM,CRESPD,M,ES211,PER_100000_POP,79.2
2012,EU_SH_DTH_NCOM,CRESPD,M,ES211,PER_100000_POP,86.4
2019,EU_SH_DTH_NCOM,CRESPD,M,ES211,PER_100000_POP,92.1
2016,EU_SH_DTH_NCOM,CRESPD,M,ES211,PER_100000_POP,77.2
2014,EU_SH_DTH_NCOM,CRESPD,M,ES211,PER_100000_POP,67.4
2018,EU_SH_DTH_NCOM,CRESPD,M,ES211,PER_100000_POP,75.9
2022,EU_SH_DTH_NCOM,CRESPD,M,ES211,PER_100000_POP,64.4
2017,EU_SH_DTH_NCOM,CRESPD,M,ES211,PER_100000_POP,76.3
2022,EU_SH_DTH_NCOM,CRESPD,M,ES213,PER_100000_POP,71.0
2018,EU_SH_DTH_NCOM,CRESPD,M,ES213,PER_100000_POP,97.9
2010,EU_SH_DTH_NCOM,CRESPD,M,ES213,PER_100000_POP,78.0
2013,EU_SH_DTH_NCOM,CRESPD,M,ES213,PER_100000_POP,80.9
2019,EU_SH_DTH_NCOM,CRESPD,M,ES213,PER_100000_POP,87.8
2011,EU_SH_DTH_NCOM,CRESPD,M,ES213,PER_100000_POP,82.4
2015,EU_SH_DTH_NCOM,CRESPD,M,ES213,PER_100000_POP,96.3
2012,EU_SH_DTH_NCOM,CRESPD,M,ES213,PER_100000_POP,86.7
2014,EU_SH_DTH_NCOM,CRESPD,M,ES213,PER_100000_POP,80.8
2021,EU_SH_DTH_NCOM,CRESPD,M,ES213,PER_100000_POP,69.7
2016,EU_SH_DTH_NCOM,CRESPD,M,ES213,PER_100000_POP,91.3
2020,EU_SH_DTH_NCOM,CRESPD,M,ES213,PER_100000_POP,63.3
2017,EU_SH_DTH_NCOM,CRESPD,M,ES213,PER_100000_POP,97.0
2012,EU_SH_DTH_NCOM,CRESPD,M,ES212,PER_100000_POP,73.0
2011,EU_SH_DTH_NCOM,CRESPD,M,ES212,PER_100000_POP,72.1
2010,EU_SH_DTH_NCOM,CRESPD,M,ES212,PER_100000_POP,72.6
2016,EU_SH_DTH_NCOM,CRESPD,M,ES212,PER_100000_POP,79.3
2018,EU_SH_DTH_NCOM,CRESPD,M,ES212,PER_100000_POP,80.4
2021,EU_SH_DTH_NCOM,CRESPD,M,ES212,PER_100000_POP,66.2
2014,EU_SH_DTH_NCOM,CRESPD,M,ES212,PER_100000_POP,78.3
2017,EU_SH_DTH_NCOM,CRESPD,M,ES212,PER_100000_POP,84.9
2022,EU_SH_DTH_NCOM,CRESPD,M,ES212,PER_100000_POP,62.5
2013,EU_SH_DTH_NCOM,CRESPD,M,ES212,PER_100000_POP,72.3
2015,EU_SH_DTH_NCOM,CRESPD,M,ES212,PER_100000_POP,85.4
2020,EU_SH_DTH_NCOM,CRESPD,M,ES212,PER_100000_POP,59.4
2019,EU_SH_DTH_NCOM,CRESPD,M,ES212,PER_100000_POP,79.1
