Year,Series,Units,Value
2010,ES_090401_06,IX,-17.2
2011,ES_090401_06,IX,-25.9
2012,ES_090401_06,IX,-21.6
2013,ES_090401_06,IX,-28.6
2014,ES_090401_06,IX,-29.3
2015,ES_090401_06,IX,-27.8
2016,ES_090401_06,IX,-28.0
2017,ES_090401_06,IX,-25.7
2018,ES_090401_06,IX,-26.9
2019,ES_090401_06,IX,-23.1
2020,ES_090401_06,IX,-32.3
2021,ES_090401_06,IX,-26.5
2022,ES_090401_06,IX,-20.6
