Year,Value,Units
2019,6.49,PER_100000_LIVE_BIRTHS
2022,7.33,PER_100000_LIVE_BIRTHS
2021,0.0,PER_100000_LIVE_BIRTHS
2018,6.22,PER_100000_LIVE_BIRTHS
2023,7.43,PER_100000_LIVE_BIRTHS
2017,0.0,PER_100000_LIVE_BIRTHS
2015,0.0,PER_100000_LIVE_BIRTHS
2012,0.0,PER_100000_LIVE_BIRTHS
2016,10.96,PER_100000_LIVE_BIRTHS
2011,0.0,PER_100000_LIVE_BIRTHS
2014,0.0,PER_100000_LIVE_BIRTHS
2013,0.0,PER_100000_LIVE_BIRTHS
2010,4.73,PER_100000_LIVE_BIRTHS
2020,6.78,PER_100000_LIVE_BIRTHS
