Year,Value,Units,Series,GeoCode
2013,177555343.0,Litros,Consumo de agua,
2022,178506380.3,Litros,Consumo de agua,
2021,176421751.0,Litros,Consumo de agua,
2016,180637435.0,Litros,Consumo de agua,
2020,163675650.5,Litros,Consumo de agua,
2017,180334331.0,Litros,Consumo de agua,
2018,179965484.0,Litros,Consumo de agua,
2019,178194263.7,Litros,Consumo de agua,
2019,177.6,Litros per cápita diario,Consumo de agua por habitante y día,
2015,179.3,Litros per cápita diario,Consumo de agua por habitante y día,
2018,178.1,Litros per cápita diario,Consumo de agua por habitante y día,
2017,179.7,Litros per cápita diario,Consumo de agua por habitante y día,
2014,179.4,Litros per cápita diario,Consumo de agua por habitante y día,
2012,184.4,Litros per cápita diario,Consumo de agua por habitante y día,
2011,184.4,Litros per cápita diario,Consumo de agua por habitante y día,
2016,180.8,Litros per cápita diario,Consumo de agua por habitante y día,
