Year,Value,Units,Series,GeoCode
2021,18.2,Kg de petróleo equivalente por euro de PIB,Consumo de energía eléctrica por unidad de PIB,
2015,20.7,Kg de petróleo equivalente por euro de PIB,Consumo de energía eléctrica por unidad de PIB,
2019,17.8,Kg de petróleo equivalente por euro de PIB,Consumo de energía eléctrica por unidad de PIB,
2014,21.1,Kg de petróleo equivalente por euro de PIB,Consumo de energía eléctrica por unidad de PIB,
2011,22.9,Kg de petróleo equivalente por euro de PIB,Consumo de energía eléctrica por unidad de PIB,
2018,18.5,Kg de petróleo equivalente por euro de PIB,Consumo de energía eléctrica por unidad de PIB,
2022,16.9,Kg de petróleo equivalente por euro de PIB,Consumo de energía eléctrica por unidad de PIB,
2020,18.0,Kg de petróleo equivalente por euro de PIB,Consumo de energía eléctrica por unidad de PIB,
2012,21.7,Kg de petróleo equivalente por euro de PIB,Consumo de energía eléctrica por unidad de PIB,
2010,23.5,Kg de petróleo equivalente por euro de PIB,Consumo de energía eléctrica por unidad de PIB,
2013,21.7,Kg de petróleo equivalente por euro de PIB,Consumo de energía eléctrica por unidad de PIB,
2016,19.1,Kg de petróleo equivalente por euro de PIB,Consumo de energía eléctrica por unidad de PIB,
2017,19.0,Kg de petróleo equivalente por euro de PIB,Consumo de energía eléctrica por unidad de PIB,
2018,6973.9,Kw per cápita diario,Consumo de energía eléctrica por habitante ,
2021,6549.3,Kw per cápita diario,Consumo de energía eléctrica por habitante ,
2011,7568.0,Kw per cápita diario,Consumo de energía eléctrica por habitante ,
2010,7783.8,Kw per cápita diario,Consumo de energía eléctrica por habitante ,
2012,7049.6,Kw per cápita diario,Consumo de energía eléctrica por habitante ,
2022,6378.3,Kw per cápita diario,Consumo de energía eléctrica por habitante ,
2019,6812.5,Kw per cápita diario,Consumo de energía eléctrica por habitante ,
2017,6940.4,Kw per cápita diario,Consumo de energía eléctrica por habitante ,
2013,6932.0,Kw per cápita diario,Consumo de energía eléctrica por habitante ,
2016,6809.1,Kw per cápita diario,Consumo de energía eléctrica por habitante ,
2014,7069.4,Kw per cápita diario,Consumo de energía eléctrica por habitante ,
2020,6235.8,Kw per cápita diario,Consumo de energía eléctrica por habitante ,
2015,7191.6,Kw per cápita diario,Consumo de energía eléctrica por habitante ,
