Year,Value,Units
2018,100.0,%
2011,100.3,%
2021,99.1,%
2015,99.6,%
2019,99.8,%
2020,99.8,%
2017,99.8,%
2010,100.1,%
2012,99.7,%
2023,101.0,%
2022,99.6,%
2024,99.4,%
2016,100.0,%
2014,99.3,%
2013,99.8,%
