Year,Value,Units
2000,0.0,Porcentaje
2004,0.2,Porcentaje
2008,0.0,Porcentaje
2012,0.0,Porcentaje
2014,0.0,Porcentaje
2016,0.0,Porcentaje
2018,0.0,Porcentaje
2020,0.0,Porcentaje
2022,0.0,Porcentaje
