Year,Value,Units
2010,0.07,Percentage
2011,0.09,Percentage
2012,0.0,Percentage
2013,0.01,Percentage
2014,0.03,Percentage
2015,0.02,Percentage
2016,0.01,Percentage
2017,0.02,Percentage
2018,0.01,Percentage
2019,0.01,Percentage
2020,0.0,Percentage
2021,0.02,Percentage
2022,0.0,Percentage
