Year,Value,Units
2013,42.7,Porcentaje
2018,49.7,Porcentaje
2016,49.3,Porcentaje
2017,49.0,Porcentaje
2014,47.5,Porcentaje
2019,48.8,Porcentaje
2011,43.1,Porcentaje
2012,44.2,Porcentaje
2015,50.3,Porcentaje
2010,43.5,Porcentaje
