Year,Series,Units,Value
2015,Pobrezia murriztera bideratutako Garapenerako Laguntza Ofiziala (guztizko ordainketa gordina),Milioi euroak,1.0
2016,Pobrezia murriztera bideratutako Garapenerako Laguntza Ofiziala (guztizko ordainketa gordina),Milioi euroak,1.01
