Year,Series,Units,Value
2010,CO2 isurketak 2005. urtearekiko,IX,-17.19
2011,CO2 isurketak 2005. urtearekiko,IX,-25.9
2012,CO2 isurketak 2005. urtearekiko,IX,-21.64
2013,CO2 isurketak 2005. urtearekiko,IX,-28.59
2014,CO2 isurketak 2005. urtearekiko,IX,-29.31
2015,CO2 isurketak 2005. urtearekiko,IX,-27.84
2016,CO2 isurketak 2005. urtearekiko,IX,-28.02
2017,CO2 isurketak 2005. urtearekiko,IX,-25.72
2018,CO2 isurketak 2005. urtearekiko,IX,-26.89
2019,CO2 isurketak 2005. urtearekiko,IX,-23.06
2020,CO2 isurketak 2005. urtearekiko,IX,-32.28
2021,CO2 isurketak 2005. urtearekiko,IX,-26.48
2022,CO2 isurketak 2005. urtearekiko,IX,-20.65
