Year,Okupazioa,Lurralde historikoa,Units,Value
2011,Goi-zuzendaritza,ES212,PT,25.4
2010,Goi-zuzendaritza,ES212,PT,28.4
2017,Goi-zuzendaritza,ES212,PT,33.7
2016,Goi-zuzendaritza,ES212,PT,33.2
2021,Goi-zuzendaritza,ES212,PT,29.1
2011,Enpresaria,,PT,34.5
2010,Enpresaria,,PT,32.6
2015,Enpresaria,,PT,33.7
2018,Enpresaria,,PT,35.4
2013,Enpresaria,,PT,34.7
2020,Enpresaria,,PT,34.4
2019,Enpresaria,,PT,35.1
2021,Enpresaria,,PT,33.5
2023,Enpresaria,,PT,35.2
2022,Enpresaria,,PT,33.1
2017,Enpresaria,,PT,34.5
2016,Enpresaria,,PT,34.7
2012,Enpresaria,,PT,36.0
2014,Enpresaria,,PT,35.2
2011,Enpresaria,ES211,PT,31.8
2017,Enpresaria,ES211,PT,32.8
2022,Enpresaria,ES211,PT,30.7
2019,Enpresaria,ES211,PT,34.6
2015,Enpresaria,ES211,PT,36.7
2013,Enpresaria,ES211,PT,31.8
2010,Enpresaria,ES211,PT,35.2
2012,Enpresaria,ES211,PT,33.6
2014,Enpresaria,ES211,PT,33.3
2018,Enpresaria,ES211,PT,36.0
2016,Enpresaria,ES211,PT,34.9
2020,Enpresaria,ES211,PT,30.9
2021,Enpresaria,ES211,PT,31.3
2023,Enpresaria,ES211,PT,27.8
2018,Enpresaria,ES213,PT,35.0
2023,Enpresaria,ES213,PT,37.0
2022,Enpresaria,ES213,PT,34.6
2021,Enpresaria,ES213,PT,33.5
2019,Enpresaria,ES213,PT,34.9
2017,Enpresaria,ES213,PT,33.8
2020,Enpresaria,ES213,PT,35.8
2016,Enpresaria,ES213,PT,34.0
2015,Enpresaria,ES213,PT,33.0
2014,Enpresaria,ES213,PT,34.9
2013,Enpresaria,ES213,PT,35.7
2012,Enpresaria,ES213,PT,36.9
2011,Enpresaria,ES213,PT,36.6
2010,Enpresaria,ES213,PT,33.5
2012,Enpresaria,ES212,PT,35.6
2016,Enpresaria,ES212,PT,35.6
2013,Enpresaria,ES212,PT,34.5
2019,Enpresaria,ES212,PT,35.6
2021,Enpresaria,ES212,PT,34.3
2020,Enpresaria,ES212,PT,33.4
2023,Enpresaria,ES212,PT,35.5
2022,Enpresaria,ES212,PT,32.0
2018,Enpresaria,ES212,PT,35.7
2017,Enpresaria,ES212,PT,36.2
2015,Enpresaria,ES212,PT,33.2
2014,Enpresaria,ES212,PT,36.4
2011,Enpresaria,ES212,PT,32.6
2010,Enpresaria,ES212,PT,30.5
