Year,Value,Units,GeoCode
2014,1.3,Porcentaje,
2010,0.8,Porcentaje,
2021,3.5,Porcentaje,
2018,2.0,Porcentaje,
2019,2.5,Porcentaje,
2013,1.2,Porcentaje,
2012,1.1,Porcentaje,
2023,4.8,Porcentaje,
2016,1.5,Porcentaje,
2009,0.7,Porcentaje,
2011,0.9,Porcentaje,
2020,3.0,Porcentaje,
2015,1.3,Porcentaje,
2022,4.1,Porcentaje,
2017,1.9,Porcentaje,
2008,0.6,Porcentaje,
