Year,Value,Units,Series
2015,1.0,Millones de euros,Ayuda Oficial al Desarrollo para la reducción de la pobreza (desembolso bruto total)
2016,1.01,Millones de euros,Ayuda Oficial al Desarrollo para la reducción de la pobreza (desembolso bruto total)
