Year,Value,Units,Series
2013,35.6,Porcentaje,"Tasa de obesidad, sobrepeso o peso insuficiente de la población entre 2 y 17 años"
2017,13.8,Porcentaje,Tasa de obesidad de la población adulta
2018,12.8,Porcentaje,Tasa de obesidad de la población adulta
2014,13.0,Porcentaje,Tasa de obesidad de la población adulta
2011,15.3,Porcentaje,Tasa de obesidad de la población adulta
2013,14.5,Porcentaje,Tasa de obesidad de la población adulta
2023,36.1,Porcentaje,"Tasa de obesidad, sobrepeso o peso insuficiente de la población entre 2 y 17 años"
2018,33.4,Porcentaje,"Tasa de obesidad, sobrepeso o peso insuficiente de la población entre 2 y 17 años"
2023,14.0,Porcentaje,Tasa de obesidad de la población adulta
2019,13.5,Porcentaje,Tasa de obesidad de la población adulta
