Year,Value,Units,GeoCode
2018,10.5,%,
2011,10.8,%,
2019,9.8,%,
2021,10.0,%,
2020,10.6,%,
2024,7.4,%,
2013,15.1,%,
2022,8.6,%,
2017,11.6,%,
2014,16.1,%,
2010,9.1,%,
2023,7.8,%,
2015,15.7,%,
2016,13.8,%,
2012,11.8,%,
