Year,Series,Units,Value
2017,Superficie de suelo recuperado para nuevos usos (acumulado),Hectáreas,1081.0
2020,Superficie de suelo recuperado para nuevos usos (acumulado),Hectáreas,1259.46
2016,Superficie de suelo recuperado para nuevos usos (acumulado),Hectáreas,993.0
2014,Superficie de suelo recuperado para nuevos usos (acumulado),Hectáreas,870.0
2012,Superficie de suelo recuperado para nuevos usos (acumulado),Hectáreas,660.0
2021,Superficie de suelo recuperado para nuevos usos (acumulado),Hectáreas,1406.46
2018,Superficie de suelo recuperado para nuevos usos (acumulado),Hectáreas,1157.0
2010,Superficie de suelo recuperado para nuevos usos (acumulado),Hectáreas,422.54
2013,Superficie de suelo recuperado para nuevos usos (acumulado),Hectáreas,783.0
2011,Superficie de suelo recuperado para nuevos usos (acumulado),Hectáreas,573.0
2019,Superficie de suelo recuperado para nuevos usos (acumulado),Hectáreas,1215.46
2015,Superficie de suelo recuperado para nuevos usos (acumulado),Hectáreas,944.0
2010,Superficie de suelo recuperado en proporción al total,Porcentaje,4.58
2011,Superficie de suelo recuperado en proporción al total,Porcentaje,6.21
2012,Superficie de suelo recuperado en proporción al total,Porcentaje,7.15
2013,Superficie de suelo recuperado en proporción al total,Porcentaje,8.35
2015,Superficie de suelo recuperado en proporción al total,Porcentaje,10.0
2016,Superficie de suelo recuperado en proporción al total,Porcentaje,10.91
2020,Superficie de suelo recuperado en proporción al total,Porcentaje,13.99
2014,Superficie de suelo recuperado en proporción al total,Porcentaje,9.24
2017,Superficie de suelo recuperado en proporción al total,Porcentaje,11.37
2018,Superficie de suelo recuperado en proporción al total,Porcentaje,12.61
2019,Superficie de suelo recuperado en proporción al total,Porcentaje,13.19
2021,Superficie de suelo recuperado en proporción al total,Porcentaje,14.58
