Year,Series,Units,Value
2008,_L_ES_010202_1A,PT,12.58
2012,_L_ES_010202_1A,PT,14.71
2014,_L_ES_010202_1A,PT,16.67
2016,_L_ES_010202_1A,PT,15.59
2018,_L_ES_010202_1A,PT,15.12
2020,_L_ES_010202_1A,PT,13.38
2022,_L_ES_010202_1A,PT,14.59
