Year,Sex,Province,Units,Value
2013,,,Minutes,173
2018,,,Minutes,161
2023,,,Minutes,154
2018,,Araba/Álava,Minutes,166
2023,,Araba/Álava,Minutes,155
2013,,Araba/Álava,Minutes,175
2013,,Bizkaia,Minutes,176
2023,,Bizkaia,Minutes,156
2018,,Bizkaia,Minutes,160
2018,,Gipuzkoa,Minutes,158
2023,,Gipuzkoa,Minutes,152
2013,,Gipuzkoa,Minutes,166
2018,F,,Minutes,209
2013,F,,Minutes,224
2023,F,,Minutes,182
2023,F,Araba/Álava,Minutes,189
2013,F,Araba/Álava,Minutes,223
2018,F,Araba/Álava,Minutes,217
2013,F,Bizkaia,Minutes,229
2023,F,Bizkaia,Minutes,181
2018,F,Bizkaia,Minutes,208
2023,F,Gipuzkoa,Minutes,180
2018,F,Gipuzkoa,Minutes,206
2013,F,Gipuzkoa,Minutes,217
2013,M,,Minutes,118
2018,M,,Minutes,109
2023,M,,Minutes,124
2023,M,Araba/Álava,Minutes,118
2013,M,Araba/Álava,Minutes,127
2018,M,Araba/Álava,Minutes,111
2013,M,Bizkaia,Minutes,118
2023,M,Bizkaia,Minutes,128
2018,M,Bizkaia,Minutes,108
2013,M,Gipuzkoa,Minutes,113
2023,M,Gipuzkoa,Minutes,121
2018,M,Gipuzkoa,Minutes,108
