Year,Series,Alimento,Ambito,Units,Value
2003 01,IFPA,Total,ES211,IX,0.192714993
2003 01,IFPA,Total,ES212,IX,0.418725714
2003 01,IFPA,Total,ES213,IX,0.429395008
2003 01,IFPA,Aceite,,IX,0.020170167
2003 01,IFPA,Cereales,,IX,0.179341883
2003 01,IFPA,Huevos,,IX,0.297938867
2003 01,IFPA,Leche,,IX,-0.168440588
2003 01,IFPA,Pan,,IX,0.916362748
2003 01,IFPA,Total,,IX,0.400087299
2003 02,IFPA,Total,ES211,IX,0.093008262
2003 02,IFPA,Total,ES212,IX,0.268998616
2003 02,IFPA,Total,ES213,IX,0.191797091
2003 02,IFPA,Aceite,,IX,0.010959166
2003 02,IFPA,Cereales,,IX,-0.384847446
2003 02,IFPA,Huevos,,IX,0.526803996
2003 02,IFPA,Leche,,IX,0.544546704
2003 02,IFPA,Pan,,IX,0.928674171
2003 02,IFPA,Total,,IX,0.205716012
2003 03,IFPA,Total,ES211,IX,0.058467602
2003 03,IFPA,Total,ES212,IX,0.259133582
2003 03,IFPA,Total,ES213,IX,0.276261727
2003 03,IFPA,Aceite,,IX,-0.077382424
2003 03,IFPA,Cereales,,IX,-0.272410471
2003 03,IFPA,Huevos,,IX,-0.204936682
2003 03,IFPA,Leche,,IX,0.54943163
2003 03,IFPA,Pan,,IX,1.052430246
2003 03,IFPA,Total,,IX,0.246774224
2003 04,IFPA,Total,ES211,IX,-0.198082731
2003 04,IFPA,Total,ES212,IX,0.070909868
2003 04,IFPA,Total,ES213,IX,-0.06140436
2003 04,IFPA,Aceite,,IX,-0.315968964
2003 04,IFPA,Cereales,,IX,-0.405424613
2003 04,IFPA,Huevos,,IX,-0.497395766
2003 04,IFPA,Leche,,IX,0.639814892
2003 04,IFPA,Pan,,IX,1.212291792
2003 04,IFPA,Total,,IX,-0.038944057
2003 05,IFPA,Total,ES211,IX,-0.115847089
2003 05,IFPA,Total,ES212,IX,0.191592552
2003 05,IFPA,Total,ES213,IX,0.068088734
2003 05,IFPA,Aceite,,IX,-0.379632175
2003 05,IFPA,Cereales,,IX,-0.087591688
2003 05,IFPA,Huevos,,IX,-0.360184443
2003 05,IFPA,Leche,,IX,0.337091815
2003 05,IFPA,Pan,,IX,1.266402002
2003 05,IFPA,Total,,IX,0.083304711
2003 06,IFPA,Total,ES211,IX,-0.192608393
2003 06,IFPA,Total,ES212,IX,0.072532702
2003 06,IFPA,Total,ES213,IX,-0.060271427
2003 06,IFPA,Aceite,,IX,-0.41865049
2003 06,IFPA,Cereales,,IX,-0.318699244
2003 06,IFPA,Huevos,,IX,-0.065145743
2003 06,IFPA,Leche,,IX,0.260123791
2003 06,IFPA,Pan,,IX,0.969067479
2003 06,IFPA,Total,,IX,-0.038546868
2003 07,IFPA,Total,ES211,IX,0.379103653
2003 07,IFPA,Total,ES212,IX,0.357372313
2003 07,IFPA,Total,ES213,IX,0.244203697
2003 07,IFPA,Aceite,,IX,-0.228337358
2003 07,IFPA,Cereales,,IX,-0.595573152
2003 07,IFPA,Huevos,,IX,0.173233635
2003 07,IFPA,Leche,,IX,0.101369019
2003 07,IFPA,Pan,,IX,0.508816785
2003 07,IFPA,Total,,IX,0.296557998
2003 08,IFPA,Total,ES211,IX,0.951569664
2003 08,IFPA,Total,ES212,IX,0.541446332
2003 08,IFPA,Total,ES213,IX,0.54660086
2003 08,IFPA,Aceite,,IX,-0.185195902
2003 08,IFPA,Cereales,,IX,-0.539734883
2003 08,IFPA,Huevos,,IX,0.210348641
2003 08,IFPA,Leche,,IX,-0.15527205
2003 08,IFPA,Pan,,IX,0.440018324
2003 08,IFPA,Total,,IX,0.612699075
2003 09,IFPA,Total,ES211,IX,1.36454386
2003 09,IFPA,Total,ES212,IX,0.929189667
2003 09,IFPA,Total,ES213,IX,1.144086328
2003 09,IFPA,Aceite,,IX,-0.297011727
2003 09,IFPA,Cereales,,IX,-0.624662171
2003 09,IFPA,Huevos,,IX,0.098532488
2003 09,IFPA,Leche,,IX,-0.098320391
2003 09,IFPA,Pan,,IX,-0.48351415
2003 09,IFPA,Total,,IX,1.128824922
2003 10,IFPA,Total,ES211,IX,0.819944141
2003 10,IFPA,Total,ES212,IX,0.403231693
2003 10,IFPA,Total,ES213,IX,0.326316926
2003 10,IFPA,Aceite,,IX,-0.017820066
2003 10,IFPA,Cereales,,IX,-0.870017693
2003 10,IFPA,Huevos,,IX,1.585555107
2003 10,IFPA,Leche,,IX,-0.134483735
2003 10,IFPA,Pan,,IX,0.367825109
2003 10,IFPA,Total,,IX,0.423068996
2003 11,IFPA,Total,ES211,IX,0.616258645
2003 11,IFPA,Total,ES212,IX,0.460703867
2003 11,IFPA,Total,ES213,IX,0.258202154
2003 11,IFPA,Aceite,,IX,-0.027240212
2003 11,IFPA,Cereales,,IX,-0.646683857
2003 11,IFPA,Huevos,,IX,2.380823434
2003 11,IFPA,Leche,,IX,-0.104607172
2003 11,IFPA,Pan,,IX,0.333792446
2003 11,IFPA,Total,,IX,0.373369426
2003 12,IFPA,Total,ES211,IX,0.566236666
2003 12,IFPA,Total,ES212,IX,0.36048548
2003 12,IFPA,Total,ES213,IX,0.09057945
2003 12,IFPA,Aceite,,IX,0.199278336
2003 12,IFPA,Cereales,,IX,-0.537804379
2003 12,IFPA,Huevos,,IX,2.772527435
2003 12,IFPA,Leche,,IX,-0.103233611
2003 12,IFPA,Pan,,IX,1.194835212
2003 12,IFPA,Total,,IX,0.242594269
2004 01,IFPA,Total,ES211,IX,0.677948556
2004 01,IFPA,Total,ES212,IX,0.573292059
2004 01,IFPA,Total,ES213,IX,0.592488251
2004 01,IFPA,Aceite,,IX,0.069174639
2004 01,IFPA,Cereales,,IX,-0.146523348
2004 01,IFPA,Huevos,,IX,2.605935969
2004 01,IFPA,Leche,,IX,0.039709371
2004 01,IFPA,Pan,,IX,1.496672854
2004 01,IFPA,Total,,IX,0.602255236
2004 02,IFPA,Total,ES211,IX,0.421544157
2004 02,IFPA,Total,ES212,IX,0.220262741
2004 02,IFPA,Total,ES213,IX,0.323502929
2004 02,IFPA,Aceite,,IX,0.069207456
2004 02,IFPA,Cereales,,IX,0.208844942
2004 02,IFPA,Huevos,,IX,1.574830939
2004 02,IFPA,Leche,,IX,0.078350869
2004 02,IFPA,Pan,,IX,1.687551305
2004 02,IFPA,Total,,IX,0.304558891
2004 03,IFPA,Total,ES211,IX,0.558074754
2004 03,IFPA,Total,ES212,IX,0.200411267
2004 03,IFPA,Total,ES213,IX,0.443872658
2004 03,IFPA,Aceite,,IX,-0.109402023
2004 03,IFPA,Cereales,,IX,0.379430738
2004 03,IFPA,Huevos,,IX,1.137151041
2004 03,IFPA,Leche,,IX,0.626274438
2004 03,IFPA,Pan,,IX,1.631254404
2004 03,IFPA,Total,,IX,0.383558592
2004 04,IFPA,Total,ES211,IX,0.762026737
2004 04,IFPA,Total,ES212,IX,0.256208538
2004 04,IFPA,Total,ES213,IX,0.403063114
2004 04,IFPA,Aceite,,IX,0.721424229
2004 04,IFPA,Cereales,,IX,0.228817853
2004 04,IFPA,Huevos,,IX,0.888814748
2004 04,IFPA,Leche,,IX,0.573920243
2004 04,IFPA,Pan,,IX,1.045365574
2004 04,IFPA,Total,,IX,0.407089887
2004 05,IFPA,Total,ES211,IX,0.963344665
2004 05,IFPA,Total,ES212,IX,0.470656532
2004 05,IFPA,Total,ES213,IX,0.538276267
2004 05,IFPA,Aceite,,IX,0.824612017
2004 05,IFPA,Cereales,,IX,-0.766962498
2004 05,IFPA,Huevos,,IX,0.790221332
2004 05,IFPA,Leche,,IX,0.552877933
2004 05,IFPA,Pan,,IX,1.017556827
2004 05,IFPA,Total,,IX,0.577044425
2004 06,IFPA,Total,ES211,IX,0.520983661
2004 06,IFPA,Total,ES212,IX,0.268205222
2004 06,IFPA,Total,ES213,IX,0.063069211
2004 06,IFPA,Aceite,,IX,1.255121681
2004 06,IFPA,Cereales,,IX,-0.825117191
2004 06,IFPA,Huevos,,IX,0.687801956
2004 06,IFPA,Leche,,IX,0.051595022
2004 06,IFPA,Pan,,IX,0.403372223
2004 06,IFPA,Total,,IX,0.186921033
2004 07,IFPA,Total,ES211,IX,0.471229209
2004 07,IFPA,Total,ES212,IX,0.196937159
2004 07,IFPA,Total,ES213,IX,-0.015356854
2004 07,IFPA,Aceite,,IX,0.636115
2004 07,IFPA,Cereales,,IX,-0.657235393
2004 07,IFPA,Huevos,,IX,0.093534418
2004 07,IFPA,Leche,,IX,-0.206065774
2004 07,IFPA,Pan,,IX,0.421712742
2004 07,IFPA,Total,,IX,0.104852339
2004 08,IFPA,Total,ES211,IX,0.312585594
2004 08,IFPA,Total,ES212,IX,0.141109772
2004 08,IFPA,Total,ES213,IX,-0.047562607
2004 08,IFPA,Aceite,,IX,0.582936785
2004 08,IFPA,Cereales,,IX,-0.701784862
2004 08,IFPA,Huevos,,IX,-0.52774043
2004 08,IFPA,Leche,,IX,-0.39769985
2004 08,IFPA,Pan,,IX,0.503599954
2004 08,IFPA,Total,,IX,0.056166964
2004 09,IFPA,Total,ES211,IX,0.455504177
2004 09,IFPA,Total,ES212,IX,0.27015899
2004 09,IFPA,Total,ES213,IX,0.275684273
2004 09,IFPA,Aceite,,IX,0.457831055
2004 09,IFPA,Cereales,,IX,-0.613398264
2004 09,IFPA,Huevos,,IX,0.351483777
2004 09,IFPA,Leche,,IX,-0.208852595
2004 09,IFPA,Pan,,IX,1.413420076
2004 09,IFPA,Total,,IX,0.301017722
2004 10,IFPA,Total,ES211,IX,0.049429151
2004 10,IFPA,Total,ES212,IX,-0.0234751
2004 10,IFPA,Total,ES213,IX,0.01936121
2004 10,IFPA,Aceite,,IX,0.233324911
2004 10,IFPA,Cereales,,IX,-0.133203974
2004 10,IFPA,Huevos,,IX,-0.116429411
2004 10,IFPA,Leche,,IX,0.295621164
2004 10,IFPA,Pan,,IX,0.77005794
2004 10,IFPA,Total,,IX,0.006443672
2004 11,IFPA,Total,ES211,IX,0.074162084
2004 11,IFPA,Total,ES212,IX,0.10360877
2004 11,IFPA,Total,ES213,IX,0.129179015
2004 11,IFPA,Aceite,,IX,0.132943352
2004 11,IFPA,Cereales,,IX,0.079497742
2004 11,IFPA,Huevos,,IX,-0.283972252
2004 11,IFPA,Leche,,IX,0.361864359
2004 11,IFPA,Pan,,IX,0.67078079
2004 11,IFPA,Total,,IX,0.114585559
2004 12,IFPA,Total,ES211,IX,-0.070213323
2004 12,IFPA,Total,ES212,IX,0.054527122
2004 12,IFPA,Total,ES213,IX,0.035453301
2004 12,IFPA,Aceite,,IX,0.075517653
2004 12,IFPA,Cereales,,IX,0.146957807
2004 12,IFPA,Huevos,,IX,-0.629210318
2004 12,IFPA,Leche,,IX,0.304546254
2004 12,IFPA,Pan,,IX,0.447455647
2004 12,IFPA,Total,,IX,0.02649274
2005 01,IFPA,Total,ES211,IX,0.217524475
2005 01,IFPA,Total,ES212,IX,0.316459425
2005 01,IFPA,Total,ES213,IX,0.254108143
2005 01,IFPA,Aceite,,IX,0.10532483
2005 01,IFPA,Cereales,,IX,-0.004432514
2005 01,IFPA,Huevos,,IX,-0.677026229
2005 01,IFPA,Leche,,IX,0.205021213
2005 01,IFPA,Pan,,IX,0.930394903
2005 01,IFPA,Total,,IX,0.2723463
2005 02,IFPA,Total,ES211,IX,0.320035819
2005 02,IFPA,Total,ES212,IX,0.202459283
2005 02,IFPA,Total,ES213,IX,0.259212356
2005 02,IFPA,Aceite,,IX,0.193403062
2005 02,IFPA,Cereales,,IX,-0.12707982
2005 02,IFPA,Huevos,,IX,-1.032041728
2005 02,IFPA,Leche,,IX,0.159308486
2005 02,IFPA,Pan,,IX,1.197607031
2005 02,IFPA,Total,,IX,0.250145444
2005 03,IFPA,Total,ES211,IX,0.324291504
2005 03,IFPA,Total,ES212,IX,0.288546787
2005 03,IFPA,Total,ES213,IX,0.354136103
2005 03,IFPA,Aceite,,IX,0.656870022
2005 03,IFPA,Cereales,,IX,-0.025591822
2005 03,IFPA,Huevos,,IX,-0.924936067
2005 03,IFPA,Leche,,IX,0.086815546
2005 03,IFPA,Pan,,IX,1.024400244
2005 03,IFPA,Total,,IX,0.334608966
2005 04,IFPA,Total,ES211,IX,0.342550388
2005 04,IFPA,Total,ES212,IX,0.268718077
2005 04,IFPA,Total,ES213,IX,0.416267521
2005 04,IFPA,Aceite,,IX,0.312179711
2005 04,IFPA,Cereales,,IX,0.080025889
2005 04,IFPA,Huevos,,IX,-0.734876338
2005 04,IFPA,Leche,,IX,0.047092335
2005 04,IFPA,Pan,,IX,0.709101207
2005 04,IFPA,Total,,IX,0.367751663
2005 05,IFPA,Total,ES211,IX,0.08055536
2005 05,IFPA,Total,ES212,IX,0.12141219
2005 05,IFPA,Total,ES213,IX,0.272215325
2005 05,IFPA,Aceite,,IX,0.367828108
2005 05,IFPA,Cereales,,IX,0.068587731
2005 05,IFPA,Huevos,,IX,-0.727816657
2005 05,IFPA,Leche,,IX,0.144871281
2005 05,IFPA,Pan,,IX,0.011875465
2005 05,IFPA,Total,,IX,0.201302211
2005 06,IFPA,Total,ES211,IX,0.010464845
2005 06,IFPA,Total,ES212,IX,0.088273879
2005 06,IFPA,Total,ES213,IX,0.184951798
2005 06,IFPA,Aceite,,IX,0.146834359
2005 06,IFPA,Cereales,,IX,-0.310972831
2005 06,IFPA,Huevos,,IX,-0.986952187
2005 06,IFPA,Leche,,IX,0.192089175
2005 06,IFPA,Pan,,IX,0.571745777
2005 06,IFPA,Total,,IX,0.130712897
2005 07,IFPA,Total,ES211,IX,-0.237580823
2005 07,IFPA,Total,ES212,IX,-0.260523462
2005 07,IFPA,Total,ES213,IX,-0.345110549
2005 07,IFPA,Aceite,,IX,-0.284073124
2005 07,IFPA,Cereales,,IX,-0.411596731
2005 07,IFPA,Huevos,,IX,-1.084753792
2005 07,IFPA,Leche,,IX,0.073469071
2005 07,IFPA,Pan,,IX,0.317149124
2005 07,IFPA,Total,,IX,-0.320219242
2005 08,IFPA,Total,ES211,IX,0.045576606
2005 08,IFPA,Total,ES212,IX,-0.111240629
2005 08,IFPA,Total,ES213,IX,-0.213864044
2005 08,IFPA,Aceite,,IX,-0.555147888
2005 08,IFPA,Cereales,,IX,-0.670096029
2005 08,IFPA,Huevos,,IX,-0.674346812
2005 08,IFPA,Leche,,IX,-0.164049029
2005 08,IFPA,Pan,,IX,0.581956306
2005 08,IFPA,Total,,IX,-0.154683804
2005 09,IFPA,Total,ES211,IX,0.192556176
2005 09,IFPA,Total,ES212,IX,-0.05041689
2005 09,IFPA,Total,ES213,IX,-0.19359144
2005 09,IFPA,Aceite,,IX,-0.43747989
2005 09,IFPA,Cereales,,IX,-0.203328348
2005 09,IFPA,Huevos,,IX,-0.529610272
2005 09,IFPA,Leche,,IX,-0.215253271
2005 09,IFPA,Pan,,IX,0.304052856
2005 09,IFPA,Total,,IX,-0.091672696
2005 10,IFPA,Total,ES211,IX,0.279209214
2005 10,IFPA,Total,ES212,IX,-0.273796984
2005 10,IFPA,Total,ES213,IX,-0.122428807
2005 10,IFPA,Aceite,,IX,-0.147863163
2005 10,IFPA,Cereales,,IX,-0.406603736
2005 10,IFPA,Huevos,,IX,-0.49607402
2005 10,IFPA,Leche,,IX,-0.17620144
2005 10,IFPA,Pan,,IX,0.446936402
2005 10,IFPA,Total,,IX,-0.121757496
2005 11,IFPA,Total,ES211,IX,0.495564155
2005 11,IFPA,Total,ES212,IX,0.018053226
2005 11,IFPA,Total,ES213,IX,0.028711535
2005 11,IFPA,Aceite,,IX,0.769462416
2005 11,IFPA,Cereales,,IX,0.398726127
2005 11,IFPA,Huevos,,IX,-0.805247229
2005 11,IFPA,Leche,,IX,-0.125472665
2005 11,IFPA,Pan,,IX,0.327508537
2005 11,IFPA,Total,,IX,0.088049971
2005 12,IFPA,Total,ES211,IX,0.983238538
2005 12,IFPA,Total,ES212,IX,0.460878695
2005 12,IFPA,Total,ES213,IX,0.445154533
2005 12,IFPA,Aceite,,IX,1.756465404
2005 12,IFPA,Cereales,,IX,-0.419528885
2005 12,IFPA,Huevos,,IX,-0.989489484
2005 12,IFPA,Leche,,IX,-0.063485526
2005 12,IFPA,Pan,,IX,0.332059398
2005 12,IFPA,Total,,IX,0.526300371
2006 01,IFPA,Total,ES211,IX,1.077598288
2006 01,IFPA,Total,ES212,IX,0.920947714
2006 01,IFPA,Total,ES213,IX,0.918486772
2006 01,IFPA,Aceite,,IX,1.971228768
2006 01,IFPA,Cereales,,IX,-0.269151754
2006 01,IFPA,Huevos,,IX,-0.930952128
2006 01,IFPA,Leche,,IX,0.358907647
2006 01,IFPA,Pan,,IX,0.705388474
2006 01,IFPA,Total,,IX,0.949247925
2006 02,IFPA,Total,ES211,IX,0.928026757
2006 02,IFPA,Total,ES212,IX,0.585754737
2006 02,IFPA,Total,ES213,IX,0.538620226
2006 02,IFPA,Aceite,,IX,1.764956476
2006 02,IFPA,Cereales,,IX,-0.153333798
2006 02,IFPA,Huevos,,IX,-0.348896151
2006 02,IFPA,Leche,,IX,0.504365552
2006 02,IFPA,Pan,,IX,0.053801006
2006 02,IFPA,Total,,IX,0.606844271
2006 03,IFPA,Total,ES211,IX,0.689944324
2006 03,IFPA,Total,ES212,IX,0.267954949
2006 03,IFPA,Total,ES213,IX,0.101442083
2006 03,IFPA,Aceite,,IX,1.218287697
2006 03,IFPA,Cereales,,IX,0.295113448
2006 03,IFPA,Huevos,,IX,-0.032940228
2006 03,IFPA,Leche,,IX,0.491124453
2006 03,IFPA,Pan,,IX,0.028739836
2006 03,IFPA,Total,,IX,0.228722274
2006 04,IFPA,Total,ES211,IX,0.453750441
2006 04,IFPA,Total,ES212,IX,-0.088987238
2006 04,IFPA,Total,ES213,IX,-0.316868321
2006 04,IFPA,Aceite,,IX,1.206864889
2006 04,IFPA,Cereales,,IX,0.13767668
2006 04,IFPA,Huevos,,IX,-0.263884774
2006 04,IFPA,Leche,,IX,0.040590419
2006 04,IFPA,Pan,,IX,-0.161926241
2006 04,IFPA,Total,,IX,-0.152435892
2006 05,IFPA,Total,ES211,IX,0.537300743
2006 05,IFPA,Total,ES212,IX,-0.041982193
2006 05,IFPA,Total,ES213,IX,-0.14503874
2006 05,IFPA,Aceite,,IX,1.022604224
2006 05,IFPA,Cereales,,IX,-0.258566004
2006 05,IFPA,Huevos,,IX,-0.254992718
2006 05,IFPA,Leche,,IX,0.122155085
2006 05,IFPA,Pan,,IX,0.501606146
2006 05,IFPA,Total,,IX,-0.027061088
2006 06,IFPA,Total,ES211,IX,0.62097456
2006 06,IFPA,Total,ES212,IX,-0.021336327
2006 06,IFPA,Total,ES213,IX,0.228205825
2006 06,IFPA,Aceite,,IX,0.678745183
2006 06,IFPA,Cereales,,IX,-0.310876058
2006 06,IFPA,Huevos,,IX,-0.101146818
2006 06,IFPA,Leche,,IX,-0.036421263
2006 06,IFPA,Pan,,IX,1.00758939
2006 06,IFPA,Total,,IX,0.200848236
2006 07,IFPA,Total,ES211,IX,0.767550411
2006 07,IFPA,Total,ES212,IX,0.272700408
2006 07,IFPA,Total,ES213,IX,0.35624817
2006 07,IFPA,Aceite,,IX,0.704604363
2006 07,IFPA,Cereales,,IX,-0.189392033
2006 07,IFPA,Huevos,,IX,-0.296303244
2006 07,IFPA,Leche,,IX,0.268086748
2006 07,IFPA,Pan,,IX,0.196597675
2006 07,IFPA,Total,,IX,0.3831768
2006 08,IFPA,Total,ES211,IX,0.535553663
2006 08,IFPA,Total,ES212,IX,0.208174645
2006 08,IFPA,Total,ES213,IX,0.165814797
2006 08,IFPA,Aceite,,IX,-0.045294156
2006 08,IFPA,Cereales,,IX,0.115737747
2006 08,IFPA,Huevos,,IX,-0.608396481
2006 08,IFPA,Leche,,IX,0.147911016
2006 08,IFPA,Pan,,IX,0.120104615
2006 08,IFPA,Total,,IX,0.22756366
2006 09,IFPA,Total,ES211,IX,0.443341424
2006 09,IFPA,Total,ES212,IX,0.395265104
2006 09,IFPA,Total,ES213,IX,0.221923344
2006 09,IFPA,Aceite,,IX,-0.097162033
2006 09,IFPA,Cereales,,IX,0.373026047
2006 09,IFPA,Huevos,,IX,-0.570434249
2006 09,IFPA,Leche,,IX,-0.100478066
2006 09,IFPA,Pan,,IX,0.160011714
2006 09,IFPA,Total,,IX,0.311243588
2006 10,IFPA,Total,ES211,IX,-0.034749722
2006 10,IFPA,Total,ES212,IX,-0.141362853
2006 10,IFPA,Total,ES213,IX,-0.106144902
2006 10,IFPA,Aceite,,IX,-0.06954598
2006 10,IFPA,Cereales,,IX,-0.04236779
2006 10,IFPA,Huevos,,IX,-0.418480113
2006 10,IFPA,Leche,,IX,0.042426387
2006 10,IFPA,Pan,,IX,0.424626868
2006 10,IFPA,Total,,IX,-0.116474644
2006 11,IFPA,Total,ES211,IX,-0.052665006
2006 11,IFPA,Total,ES212,IX,-0.07096754
2006 11,IFPA,Total,ES213,IX,0.00288139
2006 11,IFPA,Aceite,,IX,-0.221620563
2006 11,IFPA,Cereales,,IX,-0.298864589
2006 11,IFPA,Huevos,,IX,-0.229419936
2006 11,IFPA,Leche,,IX,-0.0031952
2006 11,IFPA,Pan,,IX,0.236907413
2006 11,IFPA,Total,,IX,-0.029845137
2006 12,IFPA,Total,ES211,IX,-0.071351147
2006 12,IFPA,Total,ES212,IX,-0.164585912
2006 12,IFPA,Total,ES213,IX,-0.237548389
2006 12,IFPA,Aceite,,IX,-0.699455444
2006 12,IFPA,Cereales,,IX,-0.600646938
2006 12,IFPA,Huevos,,IX,-0.189210609
2006 12,IFPA,Leche,,IX,0.011503969
2006 12,IFPA,Pan,,IX,-0.113884422
2006 12,IFPA,Total,,IX,-0.19555961
2007 01,IFPA,Total,ES211,IX,0.416835713
2007 01,IFPA,Total,ES212,IX,-0.073752997
2007 01,IFPA,Total,ES213,IX,-0.134895335
2007 01,IFPA,Aceite,,IX,-1.749046061
2007 01,IFPA,Cereales,,IX,0.08984665
2007 01,IFPA,Huevos,,IX,0.038889251
2007 01,IFPA,Leche,,IX,-0.114026482
2007 01,IFPA,Pan,,IX,0.623601062
2007 01,IFPA,Total,,IX,-0.040576772
2007 02,IFPA,Total,ES211,IX,0.315773513
2007 02,IFPA,Total,ES212,IX,-0.233757982
2007 02,IFPA,Total,ES213,IX,-0.288782969
2007 02,IFPA,Aceite,,IX,-1.772700448
2007 02,IFPA,Cereales,,IX,-0.271572806
2007 02,IFPA,Huevos,,IX,-0.076873586
2007 02,IFPA,Leche,,IX,0.088208615
2007 02,IFPA,Pan,,IX,1.083616111
2007 02,IFPA,Total,,IX,-0.189884428
2007 03,IFPA,Total,ES211,IX,0.329745552
2007 03,IFPA,Total,ES212,IX,-0.156883485
2007 03,IFPA,Total,ES213,IX,-0.120285221
2007 03,IFPA,Aceite,,IX,-1.819785075
2007 03,IFPA,Cereales,,IX,-0.227046871
2007 03,IFPA,Huevos,,IX,-0.436788135
2007 03,IFPA,Leche,,IX,0.181043855
2007 03,IFPA,Pan,,IX,1.128426942
2007 03,IFPA,Total,,IX,-0.062778798
2007 04,IFPA,Total,ES211,IX,0.112254453
2007 04,IFPA,Total,ES212,IX,0.023014559
2007 04,IFPA,Total,ES213,IX,-0.105587344
2007 04,IFPA,Aceite,,IX,-1.379252201
2007 04,IFPA,Cereales,,IX,-0.581889864
2007 04,IFPA,Huevos,,IX,-0.440649156
2007 04,IFPA,Leche,,IX,-0.161865137
2007 04,IFPA,Pan,,IX,1.042087579
2007 04,IFPA,Total,,IX,-0.028893294
2007 05,IFPA,Total,ES211,IX,0.134065163
2007 05,IFPA,Total,ES212,IX,0.205437398
2007 05,IFPA,Total,ES213,IX,-0.060273225
2007 05,IFPA,Aceite,,IX,-1.365792916
2007 05,IFPA,Cereales,,IX,-0.17239223
2007 05,IFPA,Huevos,,IX,-0.390495162
2007 05,IFPA,Leche,,IX,-0.075804825
2007 05,IFPA,Pan,,IX,0.775434901
2007 05,IFPA,Total,,IX,0.063379511
2007 06,IFPA,Total,ES211,IX,-0.03972627
2007 06,IFPA,Total,ES212,IX,0.0096517
2007 06,IFPA,Total,ES213,IX,-0.380297939
2007 06,IFPA,Aceite,,IX,-1.315377811
2007 06,IFPA,Cereales,,IX,-0.302598841
2007 06,IFPA,Huevos,,IX,-0.245283473
2007 06,IFPA,Leche,,IX,0.020127687
2007 06,IFPA,Pan,,IX,0.596370805
2007 06,IFPA,Total,,IX,-0.193480876
2007 07,IFPA,Total,ES211,IX,0.087639388
2007 07,IFPA,Total,ES212,IX,-0.01967464
2007 07,IFPA,Total,ES213,IX,-0.303703485
2007 07,IFPA,Aceite,,IX,-1.274776882
2007 07,IFPA,Cereales,,IX,-0.357712823
2007 07,IFPA,Huevos,,IX,-0.184834851
2007 07,IFPA,Leche,,IX,0.16813165
2007 07,IFPA,Pan,,IX,0.64028543
2007 07,IFPA,Total,,IX,-0.144881049
2007 08,IFPA,Total,ES211,IX,0.145657182
2007 08,IFPA,Total,ES212,IX,0.148672541
2007 08,IFPA,Total,ES213,IX,-0.147343996
2007 08,IFPA,Aceite,,IX,-0.79752455
2007 08,IFPA,Cereales,,IX,-0.459637325
2007 08,IFPA,Huevos,,IX,-0.004480083
2007 08,IFPA,Leche,,IX,1.197835051
2007 08,IFPA,Pan,,IX,0.874500812
2007 08,IFPA,Total,,IX,0.013675483
2007 09,IFPA,Total,ES211,IX,0.801962172
2007 09,IFPA,Total,ES212,IX,0.631859662
2007 09,IFPA,Total,ES213,IX,0.485093246
2007 09,IFPA,Aceite,,IX,-0.850928377
2007 09,IFPA,Cereales,,IX,-0.262468041
2007 09,IFPA,Huevos,,IX,2.492205683
2007 09,IFPA,Leche,,IX,2.145119632
2007 09,IFPA,Pan,,IX,1.101878582
2007 09,IFPA,Total,,IX,0.610415285
2007 10,IFPA,Total,ES211,IX,1.71651675
2007 10,IFPA,Total,ES212,IX,1.486486036
2007 10,IFPA,Total,ES213,IX,1.277881797
2007 10,IFPA,Aceite,,IX,-0.697878628
2007 10,IFPA,Cereales,,IX,0.824154356
2007 10,IFPA,Huevos,,IX,2.793629535
2007 10,IFPA,Leche,,IX,3.221527546
2007 10,IFPA,Pan,,IX,2.415665743
2007 10,IFPA,Total,,IX,1.451579538
2007 11,IFPA,Total,ES211,IX,2.353733383
2007 11,IFPA,Total,ES212,IX,1.902837751
2007 11,IFPA,Total,ES213,IX,1.740032428
2007 11,IFPA,Aceite,,IX,-0.703164141
2007 11,IFPA,Cereales,,IX,1.235634484
2007 11,IFPA,Huevos,,IX,2.302439358
2007 11,IFPA,Leche,,IX,3.296898233
2007 11,IFPA,Pan,,IX,2.483125904
2007 11,IFPA,Total,,IX,1.923270001
2007 12,IFPA,Total,ES211,IX,2.188681318
2007 12,IFPA,Total,ES212,IX,1.729684824
2007 12,IFPA,Total,ES213,IX,1.632339393
2007 12,IFPA,Aceite,,IX,-0.639985808
2007 12,IFPA,Cereales,,IX,1.094048231
2007 12,IFPA,Huevos,,IX,1.285239908
2007 12,IFPA,Leche,,IX,3.060550544
2007 12,IFPA,Pan,,IX,2.442288189
2007 12,IFPA,Total,,IX,1.781636628
2008 01,IFPA,Total,ES211,IX,1.743941809
2008 01,IFPA,Total,ES212,IX,1.387369558
2008 01,IFPA,Total,ES213,IX,1.210907867
2008 01,IFPA,Aceite,,IX,-0.318758289
2008 01,IFPA,Cereales,,IX,1.149087408
2008 01,IFPA,Huevos,,IX,0.986555347
2008 01,IFPA,Leche,,IX,2.600230635
2008 01,IFPA,Pan,,IX,1.269694271
2008 01,IFPA,Total,,IX,1.373432145
2008 02,IFPA,Total,ES211,IX,1.135979892
2008 02,IFPA,Total,ES212,IX,1.103432939
2008 02,IFPA,Total,ES213,IX,0.718441453
2008 02,IFPA,Aceite,,IX,-0.128528217
