Year,Institucion,Territorio,Units,Value
2012,GEN_REGIOG,ES212,PT,37.5
2011,GEN_REGIOG,ES212,PT,37.5
2015,GEN_REGIOG,ES212,PT,44.4
2010,GEN_REGIOG,ES212,PT,36.4
2017,GEN_REGIOG,ES212,PT,44.4
2018,GEN_REGIOG,ES212,PT,44.4
2020,GEN_LOCG,,PT,47.8
2015,GEN_LOCG,,PT,41.4
2010,GEN_LOCG,,PT,27.8
2012,GEN_LOCG,,PT,40.4
2014,GEN_LOCG,,PT,40.3
2023,GEN_LOCG,,PT,48.3
2017,GEN_LOCG,,PT,41.4
2016,GEN_LOCG,,PT,41.4
2013,GEN_LOCG,,PT,40.5
2011,GEN_LOCG,,PT,40.4
2019,GEN_LOCG,,PT,47.8
2021,GEN_LOCG,,PT,47.5
2022,GEN_LOCG,,PT,47.5
2018,GEN_LOCG,,PT,41.4
2021,GEN_LOCP,,PT,30.3
2019,GEN_LOCP,,PT,29.2
2016,GEN_LOCP,,PT,25.2
2011,GEN_LOCP,,PT,22
2012,GEN_LOCP,,PT,22
2023,GEN_LOCP,,PT,33.1
2010,GEN_LOCP,,PT,19.9
2018,GEN_LOCP,,PT,25.2
2017,GEN_LOCP,,PT,25.2
2014,GEN_LOCP,,PT,23.1
2020,GEN_LOCP,,PT,29.2
2013,GEN_LOCP,,PT,22.3
2015,GEN_LOCP,,PT,25.2
2022,GEN_LOCP,,PT,30.3
