Year,Series,Valor,Territorio,Comarca,Municipio,Units,GeoCode,Value
2020,NV_IND_MANF,NOM,,,ES48911,PT,ES48911,72.1
2016,NV_IND_MANFPC,NOM,,,ES48911,EUR_PER_CAPITA,ES48911,155419.6
2017,NV_IND_MANFPC,NOM,,,ES48911,EUR_PER_CAPITA,ES48911,163856.5
2018,NV_IND_MANFPC,NOM,,,ES48911,EUR_PER_CAPITA,ES48911,165767.3
2020,NV_IND_MANFPC,NOM,,,ES48911,EUR_PER_CAPITA,ES48911,151428.3
2017,NV_IND_MANF,NOM,,,ES48911,PT,ES48911,75.9
2014,NV_IND_MANFPC,NOM,,,ES48911,EUR_PER_CAPITA,ES48911,135038.5
2015,NV_IND_MANFPC,NOM,,,ES48911,EUR_PER_CAPITA,ES48911,164191.7
2019,NV_IND_MANF,NOM,,,ES48911,PT,ES48911,71.8
2018,NV_IND_MANF,NOM,,,ES48911,PT,ES48911,72.8
2021,NV_IND_MANFPC,NOM,,,ES48911,EUR_PER_CAPITA,ES48911,148415.1
2021,NV_IND_MANF,NOM,,,ES48911,PT,ES48911,66.2
2014,NV_IND_MANF,NOM,,,ES48911,PT,ES48911,71.3
2015,NV_IND_MANF,NOM,,,ES48911,PT,ES48911,74
2016,NV_IND_MANF,NOM,,,ES48911,PT,ES48911,74.6
2019,NV_IND_MANFPC,NOM,,,ES48911,EUR_PER_CAPITA,ES48911,165122.1
2017,NV_IND_MANF,NOM,,,ES20004,PT,ES20004,45.7
2020,NV_IND_MANFPC,NOM,,,ES20004,EUR_PER_CAPITA,ES20004,18231.9
2020,NV_IND_MANF,NOM,,,ES20004,PT,ES20004,47.5
2019,NV_IND_MANFPC,NOM,,,ES20004,EUR_PER_CAPITA,ES20004,17117.1
2017,NV_IND_MANFPC,NOM,,,ES20004,EUR_PER_CAPITA,ES20004,15409.2
2014,NV_IND_MANFPC,NOM,,,ES20004,EUR_PER_CAPITA,ES20004,5990.1
2016,NV_IND_MANF,NOM,,,ES20004,PT,ES20004,45.1
2016,NV_IND_MANFPC,NOM,,,ES20004,EUR_PER_CAPITA,ES20004,13677
2018,NV_IND_MANF,NOM,,,ES20004,PT,ES20004,50.4
2015,NV_IND_MANF,NOM,,,ES20004,PT,ES20004,44.6
2018,NV_IND_MANFPC,NOM,,,ES20004,EUR_PER_CAPITA,ES20004,19214
2014,NV_IND_MANF,NOM,,,ES20004,PT,ES20004,26.5
2021,NV_IND_MANFPC,NOM,,,ES20004,EUR_PER_CAPITA,ES20004,20885.6
2015,NV_IND_MANFPC,NOM,,,ES20004,EUR_PER_CAPITA,ES20004,13993.4
2019,NV_IND_MANF,NOM,,,ES20004,PT,ES20004,44.1
2021,NV_IND_MANF,NOM,,,ES20004,PT,ES20004,46.2
2019,NV_IND_MANFPC,NOM,,,ES20005,EUR_PER_CAPITA,ES20005,8794.6
2018,NV_IND_MANF,NOM,,,ES20005,PT,ES20005,36.2
2016,NV_IND_MANFPC,NOM,,,ES20005,EUR_PER_CAPITA,ES20005,7076.2
2020,NV_IND_MANFPC,NOM,,,ES20005,EUR_PER_CAPITA,ES20005,10169.3
2015,NV_IND_MANFPC,NOM,,,ES20005,EUR_PER_CAPITA,ES20005,8079.8
2017,NV_IND_MANFPC,NOM,,,ES20005,EUR_PER_CAPITA,ES20005,7821.1
2014,NV_IND_MANF,NOM,,,ES20005,PT,ES20005,35.9
2016,NV_IND_MANF,NOM,,,ES20005,PT,ES20005,31.8
2015,NV_IND_MANF,NOM,,,ES20005,PT,ES20005,35.1
2018,NV_IND_MANFPC,NOM,,,ES20005,EUR_PER_CAPITA,ES20005,8986.6
2019,NV_IND_MANF,NOM,,,ES20005,PT,ES20005,34.9
2021,NV_IND_MANF,NOM,,,ES20005,PT,ES20005,46.9
2021,NV_IND_MANFPC,NOM,,,ES20005,EUR_PER_CAPITA,ES20005,13970.1
2017,NV_IND_MANF,NOM,,,ES20005,PT,ES20005,34.1
2020,NV_IND_MANF,NOM,,,ES20005,PT,ES20005,38.1
2014,NV_IND_MANFPC,NOM,,,ES20005,EUR_PER_CAPITA,ES20005,7499.9
2021,NV_IND_MANF,NOM,,,ES01001,PT,ES01001,23.7
2018,NV_IND_MANFPC,NOM,,,ES01001,EUR_PER_CAPITA,ES01001,2842.8
2014,NV_IND_MANFPC,NOM,,,ES01001,EUR_PER_CAPITA,ES01001,4057.7
2016,NV_IND_MANFPC,NOM,,,ES01001,EUR_PER_CAPITA,ES01001,4609.4
2019,NV_IND_MANF,NOM,,,ES01001,PT,ES01001,21.7
2014,NV_IND_MANF,NOM,,,ES01001,PT,ES01001,25
2015,NV_IND_MANFPC,NOM,,,ES01001,EUR_PER_CAPITA,ES01001,2731.1
2021,NV_IND_MANFPC,NOM,,,ES01001,EUR_PER_CAPITA,ES01001,3795.3
2017,NV_IND_MANF,NOM,,,ES01001,PT,ES01001,17.5
2020,NV_IND_MANFPC,NOM,,,ES01001,EUR_PER_CAPITA,ES01001,3222
2017,NV_IND_MANFPC,NOM,,,ES01001,EUR_PER_CAPITA,ES01001,2508.2
2016,NV_IND_MANF,NOM,,,ES01001,PT,ES01001,25.5
2020,NV_IND_MANF,NOM,,,ES01001,PT,ES01001,22.2
2019,NV_IND_MANFPC,NOM,,,ES01001,EUR_PER_CAPITA,ES01001,3477.4
2015,NV_IND_MANF,NOM,,,ES01001,PT,ES01001,17.2
2018,NV_IND_MANF,NOM,,,ES01001,PT,ES01001,18.5
2021,NV_IND_MANF,NOM,,,ES20006,PT,ES20006,2.6
2021,NV_IND_MANFPC,NOM,,,ES20006,EUR_PER_CAPITA,ES20006,327.1
2018,NV_IND_MANF,NOM,,,ES20006,PT,ES20006,3
2020,NV_IND_MANFPC,NOM,,,ES20006,EUR_PER_CAPITA,ES20006,312.3
2020,NV_IND_MANF,NOM,,,ES20006,PT,ES20006,2.7
2019,NV_IND_MANFPC,NOM,,,ES20006,EUR_PER_CAPITA,ES20006,362.1
2019,NV_IND_MANF,NOM,,,ES20006,PT,ES20006,2.6
2017,NV_IND_MANFPC,NOM,,,ES20006,EUR_PER_CAPITA,ES20006,640.1
2015,NV_IND_MANF,NOM,,,ES20006,PT,ES20006,2.9
2016,NV_IND_MANFPC,NOM,,,ES20006,EUR_PER_CAPITA,ES20006,365.5
2014,NV_IND_MANFPC,NOM,,,ES20006,EUR_PER_CAPITA,ES20006,354.9
2015,NV_IND_MANFPC,NOM,,,ES20006,EUR_PER_CAPITA,ES20006,356.3
2018,NV_IND_MANFPC,NOM,,,ES20006,EUR_PER_CAPITA,ES20006,391.4
2017,NV_IND_MANF,NOM,,,ES20006,PT,ES20006,5
2016,NV_IND_MANF,NOM,,,ES20006,PT,ES20006,2.8
2014,NV_IND_MANF,NOM,,,ES20006,PT,ES20006,2.8
2021,NV_IND_MANFPC,NOM,,,ES48912,EUR_PER_CAPITA,ES48912,11270.6
2019,NV_IND_MANFPC,NOM,,,ES48912,EUR_PER_CAPITA,ES48912,13509.7
2017,NV_IND_MANFPC,NOM,,,ES48912,EUR_PER_CAPITA,ES48912,9291.8
2021,NV_IND_MANF,NOM,,,ES48912,PT,ES48912,43.6
2020,NV_IND_MANFPC,NOM,,,ES48912,EUR_PER_CAPITA,ES48912,11439.3
2018,NV_IND_MANF,NOM,,,ES48912,PT,ES48912,41.8
2015,NV_IND_MANF,NOM,,,ES48912,PT,ES48912,39.5
2019,NV_IND_MANF,NOM,,,ES48912,PT,ES48912,45.8
2017,NV_IND_MANF,NOM,,,ES48912,PT,ES48912,39.3
2014,NV_IND_MANFPC,NOM,,,ES48912,EUR_PER_CAPITA,ES48912,6737
2014,NV_IND_MANF,NOM,,,ES48912,PT,ES48912,29.1
2018,NV_IND_MANFPC,NOM,,,ES48912,EUR_PER_CAPITA,ES48912,10704.9
2016,NV_IND_MANF,NOM,,,ES48912,PT,ES48912,36.6
2020,NV_IND_MANF,NOM,,,ES48912,PT,ES48912,43.1
2015,NV_IND_MANFPC,NOM,,,ES48912,EUR_PER_CAPITA,ES48912,8710.5
