Year,Series,Sexo,Territorio,Units,Value
2021,SH_STA_TRAF,,,PER_100000_POP,2.9
2020,SH_STA_TRAF,,,PER_100000_POP,2.7
2012,SH_STA_TRAF,,,PER_100000_POP,4
2014,SH_STA_TRAF,,,PER_100000_POP,2.6
2022,SH_STA_TRAF,,,PER_100000_POP,3.7
2019,SH_STA_TRAF,,,PER_100000_POP,3.1
2013,SH_STA_TRAF,,,PER_100000_POP,3.7
2010,SH_STA_TRAF,,,PER_100000_POP,4.1
2016,SH_STA_TRAF,,,PER_100000_POP,3.8
2017,SH_STA_TRAF,,,PER_100000_POP,3.1
2011,SH_STA_TRAF,,,PER_100000_POP,3.7
2015,SH_STA_TRAF,,,PER_100000_POP,3.5
2018,SH_STA_TRAF,,,PER_100000_POP,2.8
2017,SH_STA_TRAF,,ES211,PER_100000_POP,3.4
2020,SH_STA_TRAF,,ES211,PER_100000_POP,1.5
2012,SH_STA_TRAF,,ES211,PER_100000_POP,4.4
2010,SH_STA_TRAF,,ES211,PER_100000_POP,3.1
2022,SH_STA_TRAF,,ES211,PER_100000_POP,3.9
2013,SH_STA_TRAF,,ES211,PER_100000_POP,4.1
2015,SH_STA_TRAF,,ES211,PER_100000_POP,2.2
2011,SH_STA_TRAF,,ES211,PER_100000_POP,2.2
2014,SH_STA_TRAF,,ES211,PER_100000_POP,3.7
2018,SH_STA_TRAF,,ES211,PER_100000_POP,3.4
2019,SH_STA_TRAF,,ES211,PER_100000_POP,5.2
2016,SH_STA_TRAF,,ES211,PER_100000_POP,2.2
2021,SH_STA_TRAF,,ES211,PER_100000_POP,2.4
2012,SH_STA_TRAF,,ES213,PER_100000_POP,4.4
2016,SH_STA_TRAF,,ES213,PER_100000_POP,4.1
2018,SH_STA_TRAF,,ES213,PER_100000_POP,2.5
2010,SH_STA_TRAF,,ES213,PER_100000_POP,4.1
2017,SH_STA_TRAF,,ES213,PER_100000_POP,1.9
2015,SH_STA_TRAF,,ES213,PER_100000_POP,2.6
2021,SH_STA_TRAF,,ES213,PER_100000_POP,3.1
2019,SH_STA_TRAF,,ES213,PER_100000_POP,3
2011,SH_STA_TRAF,,ES213,PER_100000_POP,3.6
2022,SH_STA_TRAF,,ES213,PER_100000_POP,3.4
2020,SH_STA_TRAF,,ES213,PER_100000_POP,2.9
2014,SH_STA_TRAF,,ES213,PER_100000_POP,2.4
2013,SH_STA_TRAF,,ES213,PER_100000_POP,3.2
2021,SH_STA_TRAF,,ES212,PER_100000_POP,2.8
2011,SH_STA_TRAF,,ES212,PER_100000_POP,4.4
