Year,Series,Territorio,Comarca,Municipio,Units,GeoCode,Value
2020,AG_LND_FRST,,,,PT,,54.7
2021,AG_LND_FRST,,,,PT,,54.8
2022,AG_LND_FRST,,,,PT,,54.8
2019,AG_LND_FRST,,,,PT,,54.5
2010,AG_LND_FRST,,,,PT,,54.9
2018,AG_LND_FRST,,,,PT,,54.2
2016,AG_LND_FRST,,,,PT,,54.9
2018,AG_LND_FRST,,,ES48001,PT,ES48001,52.5
2021,AG_LND_FRST,,,ES48001,PT,ES48001,53.3
2020,AG_LND_FRST,,,ES48001,PT,ES48001,53.3
2016,AG_LND_FRST,,,ES48001,PT,ES48001,53.5
2010,AG_LND_FRST,,,ES48001,PT,ES48001,53.3
2022,AG_LND_FRST,,,ES48001,PT,ES48001,53.4
2019,AG_LND_FRST,,,ES48001,PT,ES48001,52.8
2010,AG_LND_FRST,,,ES20001,PT,ES20001,53.5
2019,AG_LND_FRST,,,ES20001,PT,ES20001,50.4
2020,AG_LND_FRST,,,ES20001,PT,ES20001,50.4
2022,AG_LND_FRST,,,ES20001,PT,ES20001,50.4
2016,AG_LND_FRST,,,ES20001,PT,ES20001,52.5
2021,AG_LND_FRST,,,ES20001,PT,ES20001,50.4
2018,AG_LND_FRST,,,ES20001,PT,ES20001,50.4
2016,AG_LND_FRST,,,ES48002,PT,ES48002,35.7
2019,AG_LND_FRST,,,ES48002,PT,ES48002,29.4
2022,AG_LND_FRST,,,ES48002,PT,ES48002,29.9
2021,AG_LND_FRST,,,ES48002,PT,ES48002,29.9
2010,AG_LND_FRST,,,ES48002,PT,ES48002,35.7
2020,AG_LND_FRST,,,ES48002,PT,ES48002,29.9
2018,AG_LND_FRST,,,ES48002,PT,ES48002,35.7
2016,AG_LND_FRST,,,ES20002,PT,ES20002,65.3
2010,AG_LND_FRST,,,ES20002,PT,ES20002,67
2019,AG_LND_FRST,,,ES20002,PT,ES20002,62.2
2021,AG_LND_FRST,,,ES20002,PT,ES20002,62.2
