Year,Sexo,Units,Value
2013,,PT,42.7
2018,,PT,49.7
2016,,PT,49.3
2017,,PT,49
2014,,PT,47.5
2019,,PT,48.8
2011,,PT,43.1
2012,,PT,44.2
2015,,PT,50.3
2010,,PT,43.5
2012,2,PT,51.8
2011,2,PT,50.3
2014,2,PT,55.7
2013,2,PT,49.9
2010,2,PT,52.1
2015,2,PT,55.9
2016,2,PT,54.5
2017,2,PT,55.5
2018,2,PT,56.7
2019,2,PT,53.9
2017,1,PT,41.7
2013,1,PT,35.8
2011,1,PT,36
2010,1,PT,34.6
2018,1,PT,42
2019,1,PT,43.5
2014,1,PT,40.2
2015,1,PT,44.7
2012,1,PT,36.9
2016,1,PT,44.1
