Year,Series,Sexo,Territorio,Units,Value
2020,SL_EMP_FTLINJUR,F,ES212,PER_100000_EMP,0.7
2020,SL_EMP_INJUR,F,ES212,PER_100000_EMP,3168.2
2022,SL_EMP_INJUR,M,,PER_100000_EMP,9806.7
2020,SL_EMP_FTLINJUR,M,,PER_100000_EMP,1
2024,SL_EMP_INJUR,M,,PER_100000_EMP,10149.5
2022,SL_EMP_FTLINJUR,M,,PER_100000_EMP,0.6
2020,SL_EMP_INJUR,M,,PER_100000_EMP,8606.3
2024,SL_EMP_FTLINJUR,M,,PER_100000_EMP,0.8
2023,SL_EMP_INJUR,M,,PER_100000_EMP,9758.5
2023,SL_EMP_FTLINJUR,M,,PER_100000_EMP,0.8
2021,SL_EMP_INJUR,M,,PER_100000_EMP,9472.5
2021,SL_EMP_FTLINJUR,M,,PER_100000_EMP,0.6
2020,SL_EMP_FTLINJUR,M,ES211,PER_100000_EMP,1.3
2022,SL_EMP_INJUR,M,ES211,PER_100000_EMP,11421.9
2023,SL_EMP_FTLINJUR,M,ES211,PER_100000_EMP,0
2020,SL_EMP_INJUR,M,ES211,PER_100000_EMP,9547.7
2021,SL_EMP_INJUR,M,ES211,PER_100000_EMP,10857.7
2023,SL_EMP_INJUR,M,ES211,PER_100000_EMP,9205.6
2024,SL_EMP_INJUR,M,ES211,PER_100000_EMP,13494.4
2022,SL_EMP_FTLINJUR,M,ES211,PER_100000_EMP,1.3
2021,SL_EMP_FTLINJUR,M,ES211,PER_100000_EMP,0
2024,SL_EMP_FTLINJUR,M,ES211,PER_100000_EMP,1.2
2023,SL_EMP_FTLINJUR,M,ES213,PER_100000_EMP,0.8
2022,SL_EMP_FTLINJUR,M,ES213,PER_100000_EMP,0.8
2020,SL_EMP_INJUR,M,ES213,PER_100000_EMP,8531.5
2022,SL_EMP_INJUR,M,ES213,PER_100000_EMP,9836.4
2024,SL_EMP_INJUR,M,ES213,PER_100000_EMP,9722.1
2021,SL_EMP_INJUR,M,ES213,PER_100000_EMP,9291.6
2023,SL_EMP_INJUR,M,ES213,PER_100000_EMP,10203.9
2024,SL_EMP_FTLINJUR,M,ES213,PER_100000_EMP,0.8
2020,SL_EMP_FTLINJUR,M,ES213,PER_100000_EMP,0.8
2021,SL_EMP_FTLINJUR,M,ES213,PER_100000_EMP,0.8
2020,SL_EMP_INJUR,M,ES212,PER_100000_EMP,8270.8
2022,SL_EMP_INJUR,M,ES212,PER_100000_EMP,9041
2021,SL_EMP_FTLINJUR,M,ES212,PER_100000_EMP,0.6
2024,SL_EMP_INJUR,M,ES212,PER_100000_EMP,9250.7
2023,SL_EMP_FTLINJUR,M,ES212,PER_100000_EMP,1.2
2024,SL_EMP_FTLINJUR,M,ES212,PER_100000_EMP,0.6
2023,SL_EMP_INJUR,M,ES212,PER_100000_EMP,9332.9
2021,SL_EMP_INJUR,M,ES212,PER_100000_EMP,9100.4
2022,SL_EMP_FTLINJUR,M,ES212,PER_100000_EMP,0
2020,SL_EMP_FTLINJUR,M,ES212,PER_100000_EMP,1.2
