Year,Sexo,Territorio,Units,Value
2018,,,PT,100
2011,,,PT,100.3
2021,,,PT,99.1
2015,,,PT,99.6
2019,,,PT,99.8
2020,,,PT,99.8
2017,,,PT,99.8
2010,,,PT,100.1
2012,,,PT,99.7
2023,,,PT,101
2022,,,PT,99.6
2024,,,PT,99.4
2016,,,PT,100
2014,,,PT,99.3
2013,,,PT,99.8
2022,,ES211,PT,98.6
2020,,ES211,PT,99.5
2023,,ES211,PT,99.9
2021,,ES211,PT,99
2024,,ES211,PT,98.4
2023,,ES213,PT,101.4
2022,,ES213,PT,100.1
2021,,ES213,PT,99.4
2024,,ES213,PT,100
2020,,ES213,PT,100.5
2024,,ES212,PT,98.9
2023,,ES212,PT,101
2021,,ES212,PT,98.6
2020,,ES212,PT,98.9
2022,,ES212,PT,99.5
2012,F,,PT,98.5
2015,F,,PT,99.5
2016,F,,PT,99.7
2010,F,,PT,99.7
2020,F,,PT,100
2024,F,,PT,99.1
2023,F,,PT,100.7
2011,F,,PT,100
2018,F,,PT,99.9
2022,F,,PT,98.9
2014,F,,PT,98.9
2017,F,,PT,99.8
2013,F,,PT,99.6
2019,F,,PT,99.9
2021,F,,PT,98.6
2024,F,ES211,PT,98.5
2023,F,ES211,PT,99
2022,F,ES211,PT,98.8
2021,F,ES211,PT,98.6
2020,F,ES211,PT,100
2022,F,ES213,PT,99
2023,F,ES213,PT,101.3
2021,F,ES213,PT,99
2020,F,ES213,PT,100.8
2024,F,ES213,PT,99.5
2024,F,ES212,PT,98.8
2023,F,ES212,PT,100.8
2021,F,ES212,PT,98
2022,F,ES212,PT,98.8
2020,F,ES212,PT,98.8
2012,M,,PT,100.7
2022,M,,PT,100.4
2024,M,,PT,99.6
2023,M,,PT,101.3
2014,M,,PT,99.7
2015,M,,PT,99.6
2010,M,,PT,100.6
2016,M,,PT,100.4
2013,M,,PT,100
2017,M,,PT,99.8
2018,M,,PT,100.2
2011,M,,PT,100.6
2019,M,,PT,99.8
2021,M,,PT,99.5
2020,M,,PT,99.6
2022,M,ES211,PT,98.4
2024,M,ES211,PT,98.3
2021,M,ES211,PT,99.4
2020,M,ES211,PT,99
2023,M,ES211,PT,100.7
2023,M,ES213,PT,101.5
2022,M,ES213,PT,101.1
2021,M,ES213,PT,99.8
2020,M,ES213,PT,100.1
2024,M,ES213,PT,100.5
2023,M,ES212,PT,101.3
2022,M,ES212,PT,100.2
2021,M,ES212,PT,99.2
2020,M,ES212,PT,99
2024,M,ES212,PT,99
