Year,Sexo,Edad,Units,Value
2021,,Y18T79,PT,99.2
2016,,Y18T79,PT,98.7
2021,F,Y18T79,PT,98.9
2016,F,Y18T79,PT,99.1
2021,M,Y18T79,PT,99.6
2016,M,Y18T79,PT,98.2
