Year,Series,Units,Value
2008,_L_ES_010201_2A,PT,4.52
2012,_L_ES_010201_2A,PT,7.14
2016,_L_ES_010201_2A,PT,7.65
2020,_L_ES_010201_2A,PT,8.61
