Year,Territorio,Units,Value
2019,ES48085,PER_10000,21.2
2021,ES48047,PER_10000,0
2020,ES20060,PER_10000,0
2020,ES20080,PER_10000,12.3
2020,ES48028,PER_10000,50.5
2019,ES20041,PER_10000,0
2019,ES48065,PER_10000,39.5
2021,ES20004,PER_10000,0
2021,ES48910,PER_10000,21.3
2019,ES20013,PER_10000,5.7
2021,ES20019,PER_10000,35.1
2021,ES48019,PER_10000,8.8
2020,ES20032,PER_10000,34.4
2019,ES48037,PER_10000,24.7
2021,ES0106,PER_10000,24.5
2020,ES48056,PER_10000,0
2021,ES20051,PER_10000,21.8
2021,ES48075,PER_10000,36.1
2021,ES01036,PER_10000,32.3
2020,ES48096,PER_10000,35
2019,ES2007,PER_10000,14.1
2021,ES20075,PER_10000,20.6
2020,ES01042,PER_10000,0
2019,ES20904,PER_10000,0
2020,ES01020,PER_10000,0
2020,ES48004,PER_10000,0
2019,ES48013,PER_10000,41.8
2020,ES20028,PER_10000,20.2
2021,ES48023,PER_10000,0
2019,ES01054,PER_10000,29.4
2020,ES48032,PER_10000,13.2
2019,ES20037,PER_10000,0
2019,ES48041,PER_10000,0
2019,ES01030,PER_10000,0
2021,ES48051,PER_10000,0
2021,ES20047,PER_10000,0
2020,ES48060,PER_10000,20.3
2020,ES01901,PER_10000,41.1
2019,ES4807,PER_10000,20.6
2020,ES20056,PER_10000,22.7
2020,ES48080,PER_10000,31
2020,ES01018,PER_10000,12.3
2021,ES48091,PER_10000,14.6
2019,ES20065,PER_10000,30.5
2019,ES48904,PER_10000,21.2
2019,ES20009,PER_10000,30.7
2020,ES48915,PER_10000,0
2021,ES20011,PER_10000,18.6
2019,ES20077,PER_10000,17.6
2021,ES0102,PER_10000,36
2021,ES20902,PER_10000,23.3
2020,ES20016,PER_10000,31.6
2020,ES20907,PER_10000,0
2020,,PER_10000,33.7
2019,ES48001,PER_10000,28.4
2020,ES20020,PER_10000,0
2021,ES48007,PER_10000,0
2021,ES48011,PER_10000,36.1
2019,ES20025,PER_10000,0
2020,ES48016,PER_10000,21.2
2021,ES01052,PER_10000,0
2020,ES48020,PER_10000,35.6
2019,ES2003,PER_10000,23.5
2019,ES48025,PER_10000,37.2
2020,ES01027,PER_10000,0
2019,ES4803,PER_10000,24.1
2021,ES20035,PER_10000,0
2021,ES48035,PER_10000,0
2019,ES01057,PER_10000,69
2021,ES4804,PER_10000,35
2021,ES2004,PER_10000,34.8
2020,ES48044,PER_10000,21
2020,ES01014,PER_10000,126.1
2019,ES48049,PER_10000,28.7
2020,ES20044,PER_10000,0
2019,ES48053,PER_10000,0
2019,ES01061,PER_10000,0
2021,ES48059,PER_10000,79.4
2019,ES20049,PER_10000,14.3
2021,ES48063,PER_10000,0
2019,ES01032,PER_10000,29.2
2020,ES48068,PER_10000,30.8
2019,ES20053,PER_10000,42.7
2020,ES48072,PER_10000,30
2019,ES20001,PER_10000,0
2019,ES48077,PER_10000,35.6
2021,ES20059,PER_10000,5.2
2021,ES48083,PER_10000,67.2
2019,ES01009,PER_10000,25
2020,ES48088,PER_10000,0
2021,ES20063,PER_10000,32.3
2019,ES48093,PER_10000,63.9
2021,ES20007,PER_10000,0
2021,ES48902,PER_10000,55.4
2020,ES20068,PER_10000,0
2020,ES48907,PER_10000,0
2022,ES0104,PER_10000,23
2019,ES48912,PER_10000,53.9
2020,ES20072,PER_10000,54.9
2019,ES20073,PER_10000,67.5
2021,ES01041,PER_10000,0
