Year,Series,Units,Value
2008,_L_ES_010201_2B,PT,10.33
2012,_L_ES_010201_2B,PT,12.5
2016,_L_ES_010201_2B,PT,14.29
2020,_L_ES_010201_2B,PT,16.37
