Year,Territorio,Units,Value
2015,,PT,36.4
2019,,PT,44.7
2021,,PT,45.4
2013,,PT,28.2
2020,,PT,47.2
2017,,PT,39.3
2016,,PT,38
2022,,PT,47.4
2011,,PT,25.6
2018,,PT,41.5
2010,,PT,24.7
2012,,PT,28.5
2014,,PT,33.3
2018,ES211,PT,31.5
2022,ES211,PT,44.9
2019,ES211,PT,38.4
2021,ES211,PT,38.9
2016,ES211,PT,33.7
2014,ES211,PT,27
2020,ES211,PT,39.2
2017,ES211,PT,31.3
2013,ES211,PT,24.2
2015,ES211,PT,30.6
2017,ES213,PT,34.8
2014,ES213,PT,28.2
2015,ES213,PT,28.7
2016,ES213,PT,31.2
2018,ES213,PT,35.8
2019,ES213,PT,37.9
2020,ES213,PT,38.1
2013,ES213,PT,26.6
2021,ES213,PT,37.1
2022,ES213,PT,39.2
2020,ES212,PT,69.3
2021,ES212,PT,63.4
2022,ES212,PT,63.5
2013,ES212,PT,31.9
2014,ES212,PT,41.9
2015,ES212,PT,48.3
2016,ES212,PT,48.4
2017,ES212,PT,48.7
2018,ES212,PT,52.9
2019,ES212,PT,59.3
