Year,Series,Units,Value
2020,AG_LND_FRSTMGT_HA,HA,98696
2021,AG_LND_FRSTMGT_HA,HA,101165
2015,AG_LND_FRSTMGT_HA,HA,78208
2012,AG_LND_FRSTMGT_HA,HA,70847
2019,AG_LND_FRSTMGT_HA,HA,95091
2018,AG_LND_FRSTMGT_HA,HA,92935
2017,AG_LND_FRSTMGT_HA,HA,91153
2011,AG_LND_FRSTMGT_HA,HA,70847
2013,AG_LND_FRSTMGT_HA,HA,71709
2016,AG_LND_FRSTMGT_HA,HA,85839
2014,AG_LND_FRSTMGT_HA,HA,78025
2022,AG_LND_FRSTMGT_HA,HA,105878
2015,AG_LND_FRSTMGT,PT,15.9
2014,AG_LND_FRSTMGT,PT,15.87
2011,AG_LND_FRSTMGT,PT,14.28
2018,AG_LND_FRSTMGT,PT,18.9
2012,AG_LND_FRSTMGT,PT,14.41
2019,AG_LND_FRSTMGT,PT,19.34
2021,AG_LND_FRSTMGT,PT,20.7
2013,AG_LND_FRSTMGT,PT,14.58
2022,AG_LND_FRSTMGT,PT,21.6
2020,AG_LND_FRSTMGT,PT,20.07
2017,AG_LND_FRSTMGT,PT,18.54
2016,AG_LND_FRSTMGT,PT,17.45
