Indicator,Disaggregation combinations using this value
#1-2-1,3
#1-3-1,6
#1-4-1,2
#1-5-1,3
#1-5-2,1
#2-3-1,1
#2-3-2,1
#2-4-E1,1
#2-a-1,1
#2-c-1,2
#3-1-1,1
#3-1-2,1
#3-2-1,3
#3-2-2,3
#3-4-1,15
#3-4-E2,5
#3-6-1,3
#3-9-3,3
#3-a-1,3
#3-c-1,12
#4-2-2,3
#4-3-1,9
#4-4-1,72
#4-5-1,2
#5-2-1,1
#5-2-2,1
#5-3-1,1
#5-4-1,3
#5-5-1,2
#5-5-2,3
#5-a-1,6
#5-b-1,3
