Indicator
#1-4-1
#1-5-4
#12-1-1
#15-8-1
#17-18-2
#17-18-3
#17-19-2
#2-4-E1
#2-4-E2
#3-1-1
#3-1-2
#3-2-1
#3-2-2
#3-3-1
#3-3-3
#3-4-1
#3-9-3
#3-a-1
#3-c-1
#4-1-E1
#4-2-2
#4-4-1
#5-1-1
#5-3-1
#5-5-1
#5-a-2
#5-b-1
#6-3-1
#7-1-1
#7-1-2
#7-2-1
#8-10-2
#8-5-2
#9-c-1
