Value,Disaggregation combinations using this value,Number of indicators
ICT,36,1
ICTCPT,36,1
ICTPRGM,36,1
ICTPRVCY,36,1
ICTPST,36,1
ICTSFWR,36,1
ICTSSHT,36,1
ICTTRFF,36,1
