Indicator
#10-2-1
#10-4-2
#12-2-2
#13-2-2
#15-2-1
#15-3-1
#16-6-2
#16-9-1
#17-2-1
#17-3-1
#17-6-1
#7-2-1
#7-3-1
#7-b-1
#8-4-2
#8-5-1
#8-5-2
#8-5-E1
#8-6-1
#9-2-1
#9-2-2
#9-5-1
#9-5-2
#9-b-1
