Value,eu,es,en,Disaggregation combinations using this value,Number of indicators
2010,2010,2010,2010,4,1
2011,2011,2011,2011,5,1
2012,2012,2012,2012,5,1
2013,2013,2013,2013,5,1
2014,2014,2014,2014,5,1
2015,2015,2015,2015,5,1
2016,2016,2016,2016,5,1
2017,2017,2017,2017,5,1
2018,2018,2018,2018,4,1
2019,2019,2019,2019,5,1
2020,2020,2020,2020,4,1
2021,2021,2021,2021,5,1
2022,2022,2022,2022,4,1
2023,2023,2023,2023,5,1
