Value,eu,es,en,Disaggregation combinations using this value,Number of indicators
CNO2011_1,Zuzendaritza-kargua,Cargo directivo,CNO2011_1,4,1
CNO2011_11_12_13,Goi-zuzendaritza,Alta dirección,CNO2011_11_12_13,4,1
SELF_EMP,Enpresaria,Empresaria,SELF_EMP,4,1
