Indicator
#1-1-1
#1-2-1
#1-2-2
#1-3-1
#1-4-1
#1-5-1
#1-5-2
#1-a-2
#10-1-1
#10-2-1
#10-4-1
#10-4-2
#11-1-1
#11-3-2
#11-4-1
#11-6-1
#11-6-2
#11-a-1
#12-1-1
#12-2-2
#12-4-2
#12-5-1
#12-6-1
#13-2-2
#15-1-1
#15-2-1
#15-3-1
#15-8-1
#16-1-4
#16-2-2
#16-3-2
#16-6-2
#16-7-1
#17-1-1
#17-1-2
#17-13-1
#17-18-2
#17-18-3
#17-19-2
#2-1-1
#2-2-2
#2-4-1
#2-4-E1
#2-c-1
#3-1-1
#3-1-2
#3-2-1
#3-2-2
#3-3-1
#3-3-2
#3-3-3
#3-3-4
#3-4-1
#3-4-2
#3-4-E1
#3-4-E2
#3-5-1
#3-5-2
#3-6-1
#3-7-1
#3-7-2
#3-8-1
#3-8-2
#3-9-3
#3-a-1
#3-b-1
#3-c-1
#4-1-1
#4-1-2
#4-2-2
#4-3-1
#4-4-1
#4-5-1
#4-6-1
#4-a-1
#4-c-1
