Value,eu,es,en,Disaggregation combinations using this value,Number of indicators
LTD,Aldi baterako kontratua,Contrato temporal,LTD,4,1
PTE,Lanaldi partzialeko kontratua,Contrato a tiempo parcial,PTE,4,1
