Value,eu,es,en,Disaggregation combinations using this value,Number of indicators
1.5573898147,1.5573898147,1.5573898147,1.5573898147,1,1
1.7520805957,1.7520805957,1.7520805957,1.7520805957,1,1
2.3189302002,2.3189302002,2.3189302002,2.3189302002,1,1
2.3382696804,2.3382696804,2.3382696804,2.3382696804,1,1
2.5017869907,2.5017869907,2.5017869907,2.5017869907,1,1
2.5149324112,2.5149324112,2.5149324112,2.5149324112,1,1
2.5316455696,2.5316455696,2.5316455696,2.5316455696,1,1
2.5477707006,2.5477707006,2.5477707006,2.5477707006,1,1
2.5662081708,2.5662081708,2.5662081708,2.5662081708,1,1
2.5683172385,2.5683172385,2.5683172385,2.5683172385,1,1
2.6595744681,2.6595744681,2.6595744681,2.6595744681,1,1
2.7137042062,2.7137042062,2.7137042062,2.7137042062,1,1
2.7298850575,2.7298850575,2.7298850575,2.7298850575,1,1
2.7515953399,2.7515953399,2.7515953399,2.7515953399,1,1
2.772002772,2.772002772,2.772002772,2.772002772,1,1
2.8159098909,2.8159098909,2.8159098909,2.8159098909,1,1
2.8241200774,2.8241200774,2.8241200774,2.8241200774,1,1
2.8386050284,2.8386050284,2.8386050284,2.8386050284,1,1
2.8892787122,2.8892787122,2.8892787122,2.8892787122,1,1
2.9450950144,2.9450950144,2.9450950144,2.9450950144,1,1
2.9844807004,2.9844807004,2.9844807004,2.9844807004,1,1
2.988643156,2.988643156,2.988643156,2.988643156,1,1
3.0038230475,3.0038230475,3.0038230475,3.0038230475,1,1
3.0216284987,3.0216284987,3.0216284987,3.0216284987,1,1
3.0384875084,3.0384875084,3.0384875084,3.0384875084,1,1
3.0399536769,3.0399536769,3.0399536769,3.0399536769,1,1
3.0497102775,3.0497102775,3.0497102775,3.0497102775,1,1
3.0514680952,3.0514680952,3.0514680952,3.0514680952,1,1
3.1078610603,3.1078610603,3.1078610603,3.1078610603,1,1
3.121748179,3.121748179,3.121748179,3.121748179,1,1
3.1634788534,3.1634788534,3.1634788534,3.1634788534,1,1
3.1791273843,3.1791273843,3.1791273843,3.1791273843,1,1
3.1896385076,3.1896385076,3.1896385076,3.1896385076,1,1
3.2268473701,3.2268473701,3.2268473701,3.2268473701,1,1
3.3013677095,3.3013677095,3.3013677095,3.3013677095,1,1
3.3375052149,3.3375052149,3.3375052149,3.3375052149,1,1
3.3404190708,3.3404190708,3.3404190708,3.3404190708,1,1
3.3498397903,3.3498397903,3.3498397903,3.3498397903,1,1
3.3512697064,3.3512697064,3.3512697064,3.3512697064,1,1
3.3868676937,3.3868676937,3.3868676937,3.3868676937,1,1
3.4460820698,3.4460820698,3.4460820698,3.4460820698,1,1
3.4472422062,3.4472422062,3.4472422062,3.4472422062,1,1
3.4973297415,3.4973297415,3.4973297415,3.4973297415,1,1
3.5484586383,3.5484586383,3.5484586383,3.5484586383,1,1
3.5658713693,3.5658713693,3.5658713693,3.5658713693,1,1
3.5772357724,3.5772357724,3.5772357724,3.5772357724,1,1
3.5913221929,3.5913221929,3.5913221929,3.5913221929,1,1
3.602037014,3.602037014,3.602037014,3.602037014,1,1
3.6487166583,3.6487166583,3.6487166583,3.6487166583,1,1
3.701539061,3.701539061,3.701539061,3.701539061,1,1
3.7411148522,3.7411148522,3.7411148522,3.7411148522,1,1
3.7911927676,3.7911927676,3.7911927676,3.7911927676,1,1
3.7990713381,3.7990713381,3.7990713381,3.7990713381,1,1
3.8204393505,3.8204393505,3.8204393505,3.8204393505,1,1
3.8834951456,3.8834951456,3.8834951456,3.8834951456,1,1
4.1517267409,4.1517267409,4.1517267409,4.1517267409,1,1
4.3897216274,4.3897216274,4.3897216274,4.3897216274,1,1
4.4072278537,4.4072278537,4.4072278537,4.4072278537,1,1
4.4709388972,4.4709388972,4.4709388972,4.4709388972,1,1
4.963898917,4.963898917,4.963898917,4.963898917,1,1
