Value,es,eu,en,Disaggregation combinations using this value,Number of indicators
BEN,Beneficiario (no titular),Beneficiario (no titular),Beneficiario (no titular),3,1
DEP,DEP,DEP,DEP,3,1
PERSN,PERSN,PERSN,PERSN,275,1
PLAZA,Plazas,Plazas,Plazas,1100,1
TIT,Titular,Titular,Titular,1375,1
