Value,es,eu,en,Disaggregation combinations using this value,Number of indicators
WME_EMPLOYEES,Personas empleadas,Personas empleadas,Personas empleadas,4,1
WME_HOURS,Horas trabajadas,Horas trabajadas,Horas trabajadas,4,1
WME_POSITION,Puestos de trabajo,Puestos de trabajo,Puestos de trabajo,275,1
