Value,eu,es,en,Disaggregation combinations using this value,Number of indicators
ISCED11_0,Eskolaurrea,Preescolar,ISCED11_0,1,1
ISCED11_1,Lehen hezkuntza,Primaria,ISCED11_1,1,1
ISCED11_2,Bigarren hezkuntzako lehenengo etapa,Secundaria inferior,ISCED11_2,2,2
ISCED11_3,Bigarren hezkuntzako bigarren etapa,Secundaria superior,ISCED11_3,2,2
