Indicator,Disaggregation combinations using this value
#1-4-1,2
#1-5-1,3
#11-5-1,3
#13-1-1,3
#15-1-1,2
#2-4-E1,1
#2-a-1,1
#5-2-1,1
#5-2-2,1
#6-2-1,2
#7-b-1,5
#8-5-2,3
#8-5-E1,3
