Value,eu,es,en,Disaggregation combinations using this value,Number of indicators
ES20046,Irura,Irura,Irura,41,18
ES20047,Itsasondo,Itsasondo,Itsasondo,41,18
ES20048,Larraul,Larraul,Larraul,41,18
ES20049,Lazkao,Lazkao,Lazkao,41,18
ES20050,Leaburu,Leaburu,Leaburu,41,18
ES20051,Legazpi,Legazpi,Legazpi,41,18
ES20052,Legorreta,Legorreta,Legorreta,41,18
ES20053,Lezo,Lezo,Lezo,41,18
ES20054,Lizartza,Lizartza,Lizartza,41,18
ES20055,Arrasate / Mondragón,Arrasate/Mondragón,Arrasate/Mondragón,41,18
ES20056,Mutriku,Mutriku,Mutriku,41,18
ES20057,Mutiloa,Mutiloa,Mutiloa,41,18
ES20058,Olaberria,Olaberria,Olaberria,41,18
ES20059,Oñati,Oñati,Oñati,41,18
ES20060,Orexa,Orexa,Orexa,41,18
ES20061,Orio,Orio,Orio,41,18
ES20062,Ormaiztegi,Ormaiztegi,Ormaiztegi,41,18
ES20063,Oiartzun,Oiartzun,Oiartzun,41,18
ES20064,Pasaia,Pasaia,Pasaia,41,18
ES20065,Soraluze-Placencia de las Armas,Soraluze-Placencia de las Armas,Soraluze-Placencia de las Armas,41,18
ES20066,Errezil,Errezil,Errezil,41,18
ES20067,Errenteria,Errenteria,Errenteria,41,18
ES20068,Leintz-Gatzaga,Leintz-Gatzaga,Leintz-Gatzaga,41,18
ES20069,Donostia / San Sebastián,Donostia / San Sebastián,Donostia / San Sebastián,41,18
ES20070,Segura,Segura,Segura,41,18
ES20071,Tolosa,Tolosa,Tolosa,41,18
ES20072,Urnieta,Urnieta,Urnieta,41,18
ES20073,Usurbil,Usurbil,Usurbil,41,18
ES20074,Bergara,Bergara,Bergara,41,18
ES20075,Villabona,Villabona,Villabona,41,18
ES20076,Ordizia,Ordizia,Ordizia,41,18
ES20077,Urretxu,Urretxu,Urretxu,41,18
ES20078,Zaldibia,Zaldibia,Zaldibia,41,18
ES20079,Zarautz,Zarautz,Zarautz,41,18
ES20080,Zumarraga,Zumarraga,Zumarraga,41,18
ES20081,Zumaia,Zumaia,Zumaia,41,18
ES20901,Mendaro,Mendaro,Mendaro,41,18
ES20902,Lasarte-Oria,Lasarte-Oria,Lasarte-Oria,41,18
ES20903,Astigarraga,Astigarraga,Astigarraga,41,18
ES20904,Baliarrain,Baliarrain,Baliarrain,41,18
ES20905,Orendain,Orendain,Orendain,41,18
ES20906,Altzaga,Altzaga,Altzaga,41,18
ES20907,Gaztelu,Gaztelu,Gaztelu,41,18
ES48001,Abadiño,Abadiño,Abadiño,41,18
ES48002,Abanto y Ciérvana-Abanto Zierbena,Abanto y Ciérvana-Abanto Zierbena,Abanto y Ciérvana-Abanto Zierbena,41,18
ES48003,Amorebieta-Etxano,Amorebieta-Etxano,Amorebieta-Etxano,41,18
ES48004,Amoroto,Amoroto,Amoroto,41,18
ES48005,Arakaldo,Arakaldo,Arakaldo,41,18
ES48006,Arantzazu,Arantzazu,Arantzazu,41,18
ES48007,Munitibar-Arbatzegi Gerrikaitz,Munitibar-Arbatzegi Gerrikaitz,Munitibar-Arbatzegi Gerrikaitz,41,18
ES48008,Artzentales,Artzentales,Artzentales,41,18
ES48009,Arrankudiaga-Zollo,Arrankudiaga-Zollo,Arrankudiaga-Zollo,41,18
ES48010,Arrieta,Arrieta,Arrieta,41,18
ES48011,Arrigorriaga,Arrigorriaga,Arrigorriaga,41,18
ES48012,Bakio,Bakio,Bakio,41,18
ES48013,Barakaldo,Barakaldo,Barakaldo,41,18
ES48014,Barrika,Barrika,Barrika,41,18
ES48015,Basauri,Basauri,Basauri,41,18
ES48016,Berango,Berango,Berango,41,18
ES48017,Bermeo,Bermeo,Bermeo,41,18
ES48018,Berriatua,Berriatua,Berriatua,41,18
ES48019,Berriz,Berriz,Berriz,41,18
ES48020,Bilbao,Bilbao,Bilbao,41,18
ES48021,Busturia,Busturia,Busturia,41,18
ES48022,Karrantza Harana / Valle de Carranza,Karrantza Harana/Valle de Carranza,Karrantza Harana/Valle de Carranza,41,18
ES48023,Artea,Artea,Artea,41,18
ES48024,Zeanuri,Zeanuri,Zeanuri,41,18
ES48025,Zeberio,Zeberio,Zeberio,41,18
ES48026,Dima,Dima,Dima,41,18
ES48027,Durango,Durango,Durango,41,18
ES48028,Ea,Ea,Ea,41,18
ES48029,Etxebarri,Etxebarri,Etxebarri,41,18
ES48030,Etxebarria,Etxebarria,Etxebarria,41,18
ES48031,Elantxobe,Elantxobe,Elantxobe,41,18
ES48032,Elorrio,Elorrio,Elorrio,41,18
ES48033,Ereño,Ereño,Ereño,41,18
ES48034,Ermua,Ermua,Ermua,41,18
ES48035,Fruiz,Fruiz,Fruiz,41,18
ES48036,Galdakao,Galdakao,Galdakao,41,18
ES48037,Galdames,Galdames,Galdames,41,18
ES48038,Gamiz-Fika,Gamiz-Fika,Gamiz-Fika,41,18
ES48039,Garai,Garai,Garai,41,18
ES48040,Gatika,Gatika,Gatika,41,18
ES48041,Gautegiz Arteaga,Gautegiz Arteaga,Gautegiz Arteaga,41,18
ES48042,Gordexola,Gordexola,Gordexola,41,18
ES48043,Gorliz,Gorliz,Gorliz,41,18
ES48044,Getxo,Getxo,Getxo,41,18
ES48045,Güeñes,Güeñes,Güeñes,41,18
ES48046,Gernika-Lumo,Gernika-Lumo,Gernika-Lumo,41,18
ES48047,Gizaburuaga,Gizaburuaga,Gizaburuaga,41,18
ES48048,Ibarrangelu,Ibarrangelu,Ibarrangelu,41,18
ES48049,Ispaster,Ispaster,Ispaster,41,18
ES48050,Izurtza,Izurtza,Izurtza,41,18
ES48051,Lanestosa,Lanestosa,Lanestosa,41,18
