Value,es,eu,en,Disaggregation combinations using this value,Number of indicators
INCOME_LABOUR,Renta del trabajo,Renta del trabajo,Renta del trabajo,1100,1
INCOME_TOT,Renta total,Renta total,Renta total,1100,1
