Value,es,eu,en,Disaggregation combinations using this value,Number of indicators
EUR,Euros,Euroak,Euros,275,1
PER_100000_POP,Por 100.000 habitantes,100.000 biztanle bakoitzeko,"Per 100,000 people",825,1
PER_1000_POP,Por 1.000 habitantes,1.000 biztanle bakoitzeko,"Per 1,000 people",1656,2
PLAZA,PLAZA,PLAZA,PLAZA,1100,1
PT,Porcentaje,Ehunekoa,Percentage,1947,6
