Value,eu,es,en,Disaggregation combinations using this value,Number of indicators
EGOITZA,Egoitza,Residencial,EGOITZA,1,1
ENERGETIKO,Sektore energetikoa,Sector energético,ENERGETIKO,1,1
GARRAIO,Garraioa,Transporte,GARRAIO,1,1
HONDAKIN,Hondakinak,Residuos,HONDAKIN,1,1
INDUSTRIA,Industria,Industria,INDUSTRIA,1,1
NEKAZARI,Nekazaritza,Agricultura,NEKAZARI,1,1
ZERBITZU,Zerbitzuak,Servicios,ZERBITZU,1,1
