Indicator
#11-3-2
#11-4-1
#11-5-1
#11-5-2
#11-6-1
#11-a-1
#12-1-1
#12-4-2
#12-5-1
#12-6-1
#13-1-1
#15-1-1
#15-8-1
#17-18-2
#17-18-3
#17-19-2
#17-8-1
#6-1-1
#6-2-1
#6-5-2
#6-b-1
#7-1-1
#7-1-2
#8-1-1
#8-10-2
#8-2-1
#9-1-1
#9-c-1
