Value,es,eu,en,Disaggregation combinations using this value,Number of indicators
BSRVH2O,BSRVH2O,BSRVH2O,BSRVH2O,275,1
BSRVSAN,BSRVSAN,BSRVSAN,BSRVSAN,275,1
