Value,eu,es,en,Disaggregation combinations using this value,Number of indicators
AINTZIRA,Aintzira eta hezeguneak,Lagos y humedales,AINTZIRA,1,1
EN_H2O_RVAMBQ,Ibaiak,Ríos,Rivers,1,1
ITSASERTZ,Itsasertzeko urak,Aguas costeras,ITSASERTZ,1,1
TRANTSIZIO,Trantsizio urak,Aguas de transición,TRANTSIZIO,1,1
URTEGI,Urtegiak,Embalses,URTEGI,1,1
