Value,eu,es,en,Disaggregation combinations using this value,Number of indicators
ADM_AUT,Administrazio autonomikoa,Administración autonómica,Autonomous Community government,1,1
ADM_MUN,Toki-administrazioa,Administración local,Local government,1,1
ADM_MUN_AUT,Administrazio autonomikoa eta tokikoa,Administración autonómica y local,Autonomous Community and local governments,1,1
