Value,eu,es,en,Disaggregation combinations using this value,Number of indicators
ECOICOP_RUB_01,Zerealak eta deribatuak,Cereales y derivados,ECOICOP_RUB_01,1,1
ECOICOP_RUB_01_02,Ogia eta zerealak,Pan y cereales,ECOICOP_RUB_01_02,1,1
ECOICOP_RUB_02,Ogia,Pan,ECOICOP_RUB_02,1,1
ECOICOP_RUB_10,Arrautzak,Huevos,ECOICOP_RUB_10,1,1
ECOICOP_RUB_11,Esnea,Leche,ECOICOP_RUB_11,1,1
ECOICOP_RUB_13,Olioak eta koipeak,Aceites y grasas,ECOICOP_RUB_13,1,1
ECOICOP_RUB_14,Fruta freskoak,Frutas frescas,ECOICOP_RUB_14,1,1
ECOICOP_RUB_16,Lekale eta barazki freskoak,Legumbres y hortalizas frescas,ECOICOP_RUB_16,1,1
