Value,eu,es,en,Disaggregation combinations using this value,Number of indicators
EU_HTF_DETVFL,"Lan behartua, morrontza eta esklabotza","Trabajo forzado, servidumbre y esclavitud",EU_HTF_DETVFL,1,1
EU_HTF_DETVR,Pertsonen salerosketa (helburu guztiak),Trata de personas (todos los fines),EU_HTF_DETVR,1,1
EU_HTF_DETVSXR,Sexu-esplotazioa,Explotación sexual,EU_HTF_DETVSXR,1,1
VC_HTF_DETVOGR,Organoak lortzea,Obtención de órganos,VC_HTF_DETVOGR,1,1
VC_HTF_DETVOP,Beste helburu batzuk,Otros fines,VC_HTF_DETVOP,1,1
