Value,eu,es,en,Disaggregation combinations using this value,Number of indicators
EU_SIT_JUB,Elkargokide erretiratuak,Colegiados jubilados,Registered retirees,60,1
EU_SIT_NOJUB,Elkargokide ez erretiratuak,Colegiados no jubilados,Registered non-retired,60,1
