Year,Series,Units,Value
2010,ES_090401_05,IX,27.8
2011,ES_090401_05,IX,14.4
2012,ES_090401_05,IX,20.9
2013,ES_090401_05,IX,10.2
2014,ES_090401_05,IX,9.1
2015,ES_090401_05,IX,11.4
2016,ES_090401_05,IX,11.1
2017,ES_090401_05,IX,16.2
2018,ES_090401_05,IX,12.8
2019,ES_090401_05,IX,18.7
2020,ES_090401_05,IX,4.5
2021,ES_090401_05,IX,13.5
2022,ES_090401_05,IX,22.5
