Year,Sexua,Units,Value
2018,,PT,12.8
2014,,PT,13.0
2013,,PT,14.5
2023,,PT,14.0
2011,,PT,15.3
2017,,PT,13.8
2019,,PT,13.5
2011,Emakumea,PT,15.3
2013,Emakumea,PT,13.8
2014,Emakumea,PT,11.9
2017,Emakumea,PT,13.5
2019,Emakumea,PT,13.5
2018,Emakumea,PT,11.7
2023,Emakumea,PT,13.5
2023,Gizona,PT,14.6
2017,Gizona,PT,14.2
2013,Gizona,PT,15.2
2011,Gizona,PT,15.2
2018,Gizona,PT,14.0
2019,Gizona,PT,13.5
2014,Gizona,PT,14.2
